N	2gram	Trubetskoy_1	EvropaiE
1	и в	26	37
2	в отношении	6	32
3	точки зрения	13	23
4	что в	9	21
5	не только	10	18
6	с точки	6	17
7	в то	4	16
8	хотя бы	3	15
9	то же	4	15
10	в своем	3	14
11	в качестве	3	14
12	же время	2	14
13	но и	9	14
14	и не	8	14
15	но в	7	14
16	в этом	15	12
17	в том	11	11
18	в области	9	11
19	так и	6	10
20	прежде всего	2	9
21	в смысле	4	9
22	не может	4	9
23	в себе	6	9
24	только в	4	9
25	так же	5	9
26	к тому	6	8
27	одной стороны	7	8
28	с одной	7	8
29	между тем	2	8
30	по своему	2	7
31	того что	3	7
32	а также	2	7
33	с другой	8	7
34	так как	9	7
35	с этой	3	6
36	том что	7	6
37	культурных ценностей	4	6
38	может быть	10	6
39	вслед за	2	6
40	для того	5	6
41	на то	2	6
42	как бы	12	6
43	то что	7	6
44	во всех	2	6
45	того чтобы	5	6
46	и даже	3	6
47	и на	2	6
48	то есть	4	6
49	же как	3	5
50	не в	2	5
51	но не	8	5
52	к которым	2	5
53	одной из	5	5
54	но если	2	5
55	в течение	4	5
56	и по	4	5
57	в виде	4	5
58	этой точки	2	5
59	в россии	2	5
60	и потому	6	5
61	ни было	2	4
62	то ни	2	4
63	именно в	2	4
64	или иной	2	4
65	можно сказать	3	4
66	к востоку	4	4
67	бы то	2	4
68	несмотря на	6	4
69	в самом	4	4
70	той или	2	4
71	в процессе	2	4
72	не имеет	5	4
73	сказать что	2	4
74	и к	5	3
75	этом отношении	2	3
76	с тем	18	3
77	никогда не	5	3
78	в них	2	3
79	и от	4	3
80	с другом	5	3
81	европейской культуры	3	3
82	от них	2	3
83	по своим	2	3
84	в общем	8	3
85	мы видели	2	3
86	из всех	3	3
87	ли это	2	3
88	представляет собой	3	3
89	мы можем	2	3
90	в свою	2	3
91	того же	6	3
92	связано с	2	3
93	востока в	2	3
94	друг с	5	3
95	из них	7	3
96	всяком случае	6	3
97	что и	6	3
98	когда он	3	3
99	заключает в	2	3
100	и только	4	3
101	значительная часть	2	3
102	и для	5	3
103	как на	8	3
104	в таком	3	3
105	к ним	3	3
106	в которых	4	3
107	в результате	3	3
108	потому что	7	3
109	во всяком	6	3
110	этот факт	2	3
111	о том	6	3
112	что все	4	2
113	не могут	2	2
114	течением времени	3	2
115	культурные ценности	2	2
116	а не	5	2
117	в этих	4	2
118	сравнению с	2	2
119	на восток	2	2
120	по сравнению	2	2
121	и все	2	2
122	в одном	3	2
123	к нему	7	2
124	представление о	6	2
125	главным образом	8	2
126	утверждать что	2	2
127	и как	3	2
128	востока и	2	2
129	в силу	5	2
130	или по	2	2
131	что это	3	2
132	и если	3	2
133	не к	2	2
134	он не	4	2
135	в его	5	2
136	с течением	3	2
137	в котором	4	2
138	если в	3	2
139	в мире	5	2
140	жизни и	2	2
141	вместе с	15	2
142	целый ряд	4	2
143	и таким	3	2
144	для этих	2	2
145	а в	4	2
146	таким образом	22	2
147	если бы	3	2
148	начиная с	2	2
149	но с	3	2
150	культуры и	3	2
151	и сейчас	2	2
152	и что	4	2
153	ко всему	2	2
154	в значительной	3	2
155	и наконец	2	2
156	на этот	4	2
157	в других	3	2
158	с другими	4	2
159	что эти	3	2
160	и с	10	2
161	в этой	4	2
162	по своей	2	2
163	мы должны	6	2
164	далеко не	4	2
165	тогда когда	2	2
166	в эту	2	2
167	но по	3	2
