N	2gram	Losev_Dial_4	Vladivir
1	и в	15	30
2	то что	16	20
3	в этом	11	20
4	в том	11	18
5	и не	30	18
6	и с	4	14
7	что он	7	13
8	том что	10	12
9	что в	7	12
10	не только	8	12
11	в его	4	11
12	сказать что	6	11
13	и вообще	7	10
14	и даже	6	10
15	не было	2	10
16	не в	8	9
17	кроме того	2	9
18	было бы	9	9
19	все же	2	9
20	потому что	10	9
21	не может	11	9
22	в то	6	9
23	в своем	5	8
24	вместе с	2	8
25	но и	4	8
26	что же	2	8
27	не мог	2	8
28	но в	3	8
29	не менее	2	7
30	никогда не	2	7
31	точки зрения	14	7
32	и все	11	7
33	ни в	8	7
34	может быть	17	7
35	а не	18	7
36	как это	2	7
37	хотя и	6	6
38	к этому	3	6
39	прежде всего	11	6
40	об этом	3	6
41	тем не	2	6
42	у нас	3	6
43	только в	7	6
44	во всяком	2	6
45	в себе	8	6
46	жизни и	4	6
47	а именно	6	6
48	и его	7	6
49	также и	4	6
50	и то	3	5
51	по себе	13	5
52	как и	7	5
53	так что	6	5
54	то в	5	5
55	при этом	2	5
56	но что	5	5
57	в своей	3	5
58	как бы	14	5
59	в котором	2	5
60	другими словами	5	5
61	так и	5	5
62	все это	9	5
63	с этим	3	5
64	в течение	4	5
65	и что	9	5
66	того что	13	5
67	в результате	6	5
68	все эти	3	5
69	так как	14	5
70	с ним	3	5
71	с его	5	4
72	именно в	5	4
73	с этой	2	4
74	я не	5	4
75	вовсе не	6	4
76	можно сказать	5	4
77	в этой	4	4
78	и если	3	4
79	что это	13	4
80	конечно не	2	4
81	и мы	7	4
82	и о	8	4
83	в ней	5	4
84	в нем	5	4
85	не есть	40	4
86	крайней мере	7	4
87	со стороны	3	4
88	то же	9	4
89	и наконец	3	4
90	можно судить	2	4
91	так же	4	4
92	той же	5	4
93	и на	5	4
94	но это	4	4
95	мы должны	4	4
96	о том	5	4
97	в которой	2	4
98	по крайней	7	4
99	это было	2	4
100	для меня	2	4
101	учение о	5	3
102	мы будем	2	3
103	в них	2	3
104	в отношении	2	3
105	хотя бы	4	3
106	едва ли	3	3
107	из этих	2	3
108	точно так	2	3
109	же время	6	3
110	быть в	5	3
111	в свою	3	3
112	что и	6	3
113	да и	2	3
114	и как	4	3
115	можно говорить	2	3
116	тем более	6	3
117	что я	5	3
118	в данном	3	3
119	и для	5	3
120	никак не	2	3
121	с точки	9	3
122	во всех	2	3
123	как в	3	3
124	отношения к	3	3
125	таким образом	5	3
126	никакого отношения	2	3
127	и вот	11	3
128	а это	2	3
129	уже не	9	3
130	должно быть	2	3
131	отличие от	2	3
132	или иначе	2	3
133	в виде	3	3
134	даже и	3	3
135	не говоря	3	3
136	и это	8	3
137	нет ничего	6	3
138	в области	3	3
139	не могли	2	3
140	вы не	3	2
141	нисколько не	2	2
142	с тем	4	2
143	и есть	19	2
144	очень много	2	2
145	однако в	2	2
146	у достоевского	2	2
147	и бытия	3	2
148	это не	12	2
149	имеет никакого	2	2
150	бытия и	4	2
151	тогда когда	5	2
152	только после	2	2
153	на все	2	2
154	история и	2	2
155	же это	5	2
156	можно и	2	2
157	и можно	5	2
158	без всякого	2	2
159	только тогда	5	2
160	свою очередь	2	2
161	на этом	3	2
162	есть и	3	2
163	и может	2	2
164	само по	4	2
165	она не	4	2
166	и часто	2	2
167	и из	2	2
168	мы уже	3	2
169	себе и	2	2
170	в самом	2	2
171	в сущности	5	2
172	в частности	2	2
173	есть просто	6	2
174	ни с	4	2
175	же и	2	2
176	на то	5	2
177	и потому	3	2
178	о нем	2	2
179	для того	5	2
180	в виду	9	2
181	а что	2	2
182	говоря уже	3	2
183	не имеет	14	2
184	себя в	2	2
185	можно назвать	3	2
186	ровно ничего	7	2
187	в их	3	2
188	есть нечто	2	2
189	собственно говоря	2	2
190	иной раз	3	2
191	того как	2	2
192	и притом	3	2
193	но все	2	2
194	мы находим	2	2
195	заключается в	2	2
196	того чтобы	5	2
197	что не	3	2
198	говорил о	2	2
199	только его	2	2
200	в чем	8	2
201	и по	2	2
202	в сравнении	3	2
203	это значит	8	2
204	и при	2	2
205	сам по	2	2
206	и во	2	2
207	не о	4	2
208	даже вообще	2	2
209	как будто	2	2
210	или по	4	2
211	что если	3	2
212	и жизни	2	2
213	уже о	4	2
214	ничего не	17	2
215	мы не	9	2
