N	2gram	Vinokur_Ku_2	Tragedij
1	и в	23	18
2	в году	2	9
3	в этом	18	9
4	не только	20	8
5	и не	16	7
6	и на	6	7
7	и с	7	7
8	может быть	15	7
9	как бы	4	7
10	что он	5	6
11	и его	3	6
12	же время	3	6
13	у него	3	6
14	но в	11	6
15	все же	7	5
16	что это	7	5
17	так и	4	5
18	это не	6	5
19	не может	9	5
20	то же	6	5
21	как и	2	5
22	в то	4	5
23	несмотря на	5	5
24	но и	7	4
25	то что	9	4
26	что в	10	4
27	все это	5	4
28	я не	5	4
29	прежде всего	8	4
30	и все	2	4
31	в нем	4	4
32	и даже	2	4
33	так же	4	4
34	том что	11	4
35	но это	3	4
36	в этой	6	4
37	что я	4	4
38	и что	8	4
39	еще не	5	4
40	об этом	5	4
41	уже в	3	3
42	один из	5	3
43	отнюдь не	4	3
44	в своем	2	3
45	в конце	4	3
46	что за	2	3
47	как в	3	3
48	все эти	12	3
49	тем самым	2	3
50	к нему	2	3
51	должно быть	4	3
52	в его	5	3
53	при этом	2	3
54	своего рода	4	3
55	как будто	2	3
56	как это	5	3
57	не имеет	4	2
58	перед нами	4	2
59	и до	2	2
60	не могут	5	2
61	что и	3	2
62	в частности	2	2
63	в отличие	2	2
64	данном случае	2	2
65	да здравствует	5	2
66	то и	3	2
67	первого же	2	2
68	что все	5	2
69	вопрос о	9	2
70	не просто	2	2
71	уже не	8	2
72	бы и	4	2
73	к тому	4	2
74	и здесь	5	2
75	ни в	4	2
76	в том	19	2
77	до конца	3	2
78	отличие от	2	2
79	но все	4	2
80	не в	8	2
81	в глазах	2	2
82	с первого	2	2
83	вряд ли	4	2
84	точно так	3	2
85	в данном	4	2
86	и то	5	2
87	в русском	10	2
88	потому что	25	2
89	знает что	3	2
90	с тем	2	2
91	тем что	3	2
92	только о	2	2
93	он и	2	2
94	как у	2	2
95	по поводу	2	2
96	по словам	2	2
97	и это	3	2
98	в самом	12	2
99	ничего не	4	2
100	он не	3	2
101	что она	3	2
102	никогда не	2	2
