N	2gram	Berdyaev_V_1	Problemy
1	и в	16	43
2	и не	20	29
3	как бы	5	22
4	но и	5	14
5	как и	4	14
6	и т	2	13
7	в этом	4	13
8	что он	4	13
9	в нем	4	12
10	не в	3	11
11	не только	2	11
12	прежде всего	2	10
13	но в	3	10
14	в его	4	10
15	никогда не	3	9
16	еще не	8	9
17	для него	2	8
18	лишь в	3	8
19	и сам	2	7
20	то что	9	7
21	а не	7	7
22	в этих	3	6
23	в том	3	6
24	в котором	4	6
25	и все	4	6
26	что я	3	6
27	да и	2	5
28	хотя и	5	5
29	все это	5	5
30	все эти	3	5
31	а в	2	5
32	но не	2	5
33	и что	3	5
34	не могут	2	4
35	что в	3	4
36	к тому	3	4
37	но это	3	4
38	т д	2	4
39	должно быть	3	4
40	их в	3	4
41	так как	9	4
42	с его	3	4
43	в них	3	4
44	в своей	3	4
45	во всех	3	4
46	мы не	2	4
47	только в	2	4
48	и это	2	4
49	должна быть	3	3
50	это не	2	3
51	в последнем	2	3
52	с ним	2	3
53	между тем	2	3
54	в жизни	3	3
55	тот же	3	3
56	этих трех	3	3
57	что и	3	3
58	так и	4	3
59	в себя	2	3
60	уже не	2	3
61	и для	3	3
62	можно было	2	3
63	тем что	2	3
64	могут быть	2	3
65	это все	2	3
66	его и	2	2
67	с тобой	2	2
68	в конце	3	2
69	человека и	6	2
70	в образе	4	2
71	его к	2	2
72	для нас	2	2
73	ни в	3	2
74	мы и	2	2
75	то это	3	2
76	на том	2	2
77	в форме	2	2
78	того что	5	2
79	во всяком	2	2
80	превращается в	3	2
81	что было	2	2
82	одна из	2	2
83	ивана карамазова	2	2
84	конечно не	2	2
85	на себя	5	2
86	не есть	6	2
87	ее в	2	2
88	бы и	3	2
89	а с	2	2
90	и они	3	2
91	том что	2	2
92	что не	4	2
93	хотя бы	3	2
94	чтобы сделать	2	2
95	и то	2	2
96	а между	2	2
