N	2gram	Tiupa_Teor_1	slovoVRo
1	и в	18	41
2	в нем	4	30
3	то есть	12	26
4	в романе	3	21
5	могут быть	4	19
6	но и	9	16
7	и не	13	16
8	точки зрения	9	16
9	языка в	4	16
10	не только	16	16
11	а не	9	15
12	то же	7	14
13	в пределах	5	14
14	может быть	17	14
15	не может	4	14
16	и его	8	14
17	в то	6	14
18	в его	6	13
19	же время	5	12
20	как бы	5	12
21	в этом	8	12
22	так и	10	11
23	в большинстве	2	10
24	в узком	3	10
25	в той	2	10
26	или иной	4	9
27	таким образом	3	9
28	все эти	2	9
29	себя в	6	9
30	слова в	2	8
31	прежде всего	2	8
32	но в	9	8
33	как в	5	8
34	с точки	3	8
35	или в	3	8
36	не в	7	7
37	отношение к	5	7
38	на фоне	2	7
39	вовсе не	3	7
40	в своей	6	7
41	в слове	3	7
42	в отношении	3	6
43	того же	3	6
44	это не	2	6
45	при этом	12	6
46	и даже	2	6
47	а в	13	6
48	в них	2	6
49	слова как	3	6
50	только в	6	6
51	отношении к	2	6
52	с другой	7	5
53	роман и	2	5
54	в самом	4	5
55	все это	2	5
56	в основе	3	5
57	и к	3	5
58	не на	2	5
59	с другими	5	5
60	далеко не	2	5
61	перед нами	2	4
62	одной стороны	2	4
63	одним из	2	4
64	известной степени	3	4
65	один из	2	4
66	с ее	3	4
67	в их	2	4
68	за пределы	2	4
69	с одной	2	4
70	лишь в	6	4
71	в которой	2	4
72	с его	5	4
73	данный момент	2	4
74	как и	4	4
75	еще не	4	4
76	по преимуществу	4	4
77	и потому	2	4
78	на почве	4	4
79	быть и	2	4
80	другой стороны	5	4
81	и для	2	4
82	есть как	2	3
83	не могут	2	3
84	никогда не	4	3
85	из этих	3	3
86	к тому	2	3
87	в том	16	3
88	более или	2	3
89	в свою	3	3
90	для него	2	3
91	данном случае	5	3
92	в своем	4	3
93	именно в	3	3
94	того что	4	3
95	и здесь	2	3
96	его в	2	3
97	в первом	2	3
98	не могло	2	3
99	в себе	9	3
100	в качестве	24	3
101	одной из	2	3
102	он не	3	3
103	внутренней речи	13	3
104	или менее	2	3
105	в данном	8	3
106	и ее	3	3
107	в поэзии	2	3
108	свою очередь	2	2
109	в частности	16	2
110	тому что	2	2
111	и одновременно	4	2
112	столь же	2	2
113	или даже	4	2
114	для понимания	2	2
115	можно сказать	3	2
116	такого рода	8	2
117	это отношение	3	2
118	хотя и	3	2
119	в контексте	3	2
120	между ними	4	2
121	и по	2	2
122	и тем	3	2
123	зрения и	2	2
124	в целом	3	2
125	в этих	3	2
126	как к	2	2
127	уже не	4	2
128	так же	2	2
129	сказать что	3	2
130	потому что	3	2
131	в сочетании	2	2
132	но он	3	2
133	того или	3	2
134	между тем	5	2
135	не является	4	2
136	за пределами	5	2
137	между собой	3	2
138	дело не	2	2
139	в одном	2	2
140	или иного	3	2
141	у нас	2	2
142	том что	9	2
143	не с	3	2
144	то в	2	2
145	но не	9	2
146	по своему	2	2
147	а на	3	2
148	и о	4	2
149	а также	6	2
150	даже в	3	2
151	в ее	5	2
152	как раз	2	2
153	так в	4	2
154	а с	3	2
155	если мы	2	2
156	до известной	2	2
157	роль в	2	2
158	и то	2	2
159	композиционная форма	2	2
160	с языком	2	2
161	в другом	3	2
162	жизни но	2	2
