N	2gram	Tiupa_Disk_1	OGranits
1	и в	16	13
2	и его	2	12
3	прежде всего	11	9
4	не может	9	8
5	и не	11	8
6	может быть	17	8
7	и т.п	12	7
8	точки зрения	3	7
9	в его	7	7
10	таким образом	3	6
11	не только	28	6
12	то что	5	6
13	только в	7	6
14	как бы	5	6
15	все же	3	5
16	языка и	2	5
17	хотя бы	3	5
18	и т.д	4	5
19	в процессе	5	5
20	то же	7	4
21	не является	4	4
22	в своей	5	4
23	в каждом	2	4
24	лишь в	4	4
25	но в	8	4
26	отношению к	9	3
27	что в	4	3
28	никогда не	2	3
29	но и	14	3
30	так и	8	3
31	что же	2	3
32	в их	5	3
33	по отношению	9	3
34	не как	4	3
35	и все	2	3
36	в одном	2	3
37	в ее	3	3
38	как и	16	3
39	не в	7	3
40	за пределы	2	3
41	в пределах	2	3
42	в себе	7	3
43	с этим	3	3
44	еще в	3	2
45	не менее	2	2
46	и др	2	2
47	для себя	4	2
48	уже в	2	2
49	и тем	2	2
50	в нем	9	2
51	в целом	4	2
52	своего рода	8	2
53	данном случае	2	2
54	а не	22	2
55	в произведении	3	2
56	другой стороны	3	2
57	с другой	10	2
58	в них	4	2
59	а в	5	2
60	с одной	9	2
61	роль в	7	2
62	в тех	2	2
63	к тому	5	2
64	и к	4	2
65	как в	10	2
66	в лингвистике	3	2
67	в г	2	2
68	в том	23	2
69	том что	19	2
70	в своих	3	2
71	в данном	5	2
72	в этом	15	2
73	тем что	3	2
74	между тем	4	2
75	могут быть	4	2
76	при этом	13	2
77	и ее	2	2
78	соответствии с	2	2
79	для него	4	2
80	в другом	2	2
81	более того	2	2
82	одной стороны	9	2
83	литературного произведения	3	2
84	в действительности	3	2
85	того или	2	2
86	общения и	2	2
87	в самом	3	2
88	героя и	2	2
89	имеет место	3	2
90	представляет себе	2	2
91	а также	8	2
