N	2gram	Vinokur_Ku_3	Marksizm
1	может быть	14	28
2	и пр	3	25
3	и в	23	19
4	как бы	5	19
5	и не	10	19
6	не может	6	18
7	в процессе	3	18
8	точки зрения	23	17
9	то же	6	16
10	языка и	2	15
11	как мы	5	15
12	в этом	16	15
13	таким образом	9	14
14	лишь в	8	14
15	в сущности	4	14
16	так сказать	2	14
17	не только	17	13
18	с точки	16	13
19	связи с	6	13
20	если бы	8	11
21	вовсе не	5	11
22	не в	5	10
23	в пределах	2	10
24	но и	3	10
25	том что	11	10
26	так и	6	10
27	речи в	7	10
28	при этом	6	9
29	языка как	4	9
30	как и	5	9
31	самом деле	14	9
32	а не	11	9
33	слова в	4	8
34	отнюдь не	3	8
35	по отношению	3	8
36	в то	3	8
37	отношению к	2	8
38	только в	6	8
39	в связи	5	7
40	в том	22	7
41	его в	2	7
42	но в	2	7
43	и более	3	7
44	прежде всего	9	7
45	в языке	7	7
46	на самом	3	7
47	в таком	4	7
48	к тому	3	6
49	ни в	3	6
50	и как	2	6
51	того чтобы	11	6
52	в самом	13	6
53	с помощью	6	6
54	между тем	4	6
55	слова и	7	6
56	если мы	7	6
57	для того	12	6
58	хотя бы	9	6
59	или иной	7	5
60	смысле слова	2	5
61	в их	6	5
62	как слово	2	5
63	так же	2	5
64	и здесь	2	5
65	к другому	2	5
66	и того	2	5
67	того же	4	5
68	совершенно не	5	5
69	в его	11	5
70	этого слова	4	5
71	все же	5	5
72	в той	4	5
73	в данном	7	5
74	тем более	5	5
75	должна быть	3	4
76	тому что	4	4
77	в отношении	3	4
78	это не	3	4
79	одного и	2	4
80	систему языка	2	4
81	о слове	5	4
82	той или	5	4
83	все те	2	4
84	то что	4	4
85	и тем	6	4
86	мы видели	3	4
87	значение в	2	4
88	того что	11	4
89	сказать что	7	4
90	в русском	2	4
91	как раз	4	4
92	смысле этого	2	4
93	что он	6	4
94	было бы	16	4
95	в данной	3	4
96	конечно не	2	4
97	русском языке	3	4
98	тем же	2	4
99	речь в	2	4
100	в слове	4	4
101	ничего не	6	4
102	учение о	2	3
103	в этих	2	3
104	язык не	2	3
105	в какой	3	3
106	столь же	4	3
107	с другой	7	3
108	в двух	2	3
109	одной стороны	4	3
110	в ней	3	3
111	за пределы	2	3
112	в котором	2	3
113	в каком	3	3
114	а в	5	3
115	с одной	4	3
116	все эти	7	3
117	не имеет	3	3
118	должно быть	7	3
119	чем же	2	3
120	языка в	6	3
121	не было	4	3
122	французском языке	2	3
123	о том	6	3
124	так как	9	3
125	подхода к	2	3
126	слово в	3	3
127	таком случае	2	3
128	не как	2	3
129	по себе	6	3
130	в различных	2	3
131	в ее	4	3
132	у нас	10	3
133	в качестве	2	3
134	слов и	5	3
135	до сих	8	3
136	еще не	9	3
137	в корне	2	3
138	он не	3	3
139	относится к	2	3
140	что и	6	3
141	не есть	3	3
142	в своей	4	3
143	мысли и	2	3
144	только что	2	3
145	в отличие	2	3
146	на материале	2	3
147	той же	3	3
148	с другими	2	3
149	во всяком	2	3
150	могут быть	6	3
151	речи а	2	3
152	отличие от	2	3
153	сих пор	8	3
154	уже в	3	2
155	независимо от	5	2
156	что в	13	2
157	что это	3	2
158	в нашем	7	2
159	точку зрения	2	2
160	формы и	3	2
161	эти последние	2	2
162	не знает	2	2
163	вопрос о	11	2
164	в тех	2	2
165	лишь с	4	2
166	тому же	3	2
167	двух направлениях	2	2
168	из всего	2	2
169	что они	2	2
170	более или	2	2
171	как о	3	2
172	о чем	2	2
173	не так	3	2
174	одним и	2	2
175	в зависимости	7	2
176	в своем	4	2
177	в особенности	2	2
178	именно в	3	2
179	они не	3	2
180	как на	8	2
181	но для	3	2
182	и с	3	2
183	xix века	3	2
184	к его	2	2
185	но как	3	2
186	того или	3	2
187	установка на	3	2
188	одно только	2	2
189	этих форм	2	2
190	или иного	3	2
191	не с	2	2
192	зависимости от	8	2
193	но не	3	2
194	и о	4	2
195	и именно	3	2
196	собственном смысле	2	2
197	или менее	2	2
198	бы не	3	2
199	а с	3	2
200	еще более	2	2
201	здесь как	2	2
202	что не	4	2
203	чтобы понять	2	2
204	мы не	3	2
205	речи которые	3	2
206	слова как	2	2
207	то мы	3	2
208	тем что	5	2
209	на протяжении	2	2
210	далеко не	5	2
211	если же	2	2
212	там где	3	2
213	вместе с	2	2
