N	2gram	Tiupa_Narr_2	UchenyiS
1	и в	13	14
2	а не	17	10
3	не только	26	10
4	и не	14	8
5	прежде всего	6	8
6	то что	8	7
7	в этом	13	7
8	не может	8	7
9	может быть	10	6
10	хотя бы	2	5
11	то же	4	5
12	но и	15	4
13	в этой	4	4
14	конечном счете	3	4
15	с другой	5	4
16	в конечном	3	4
17	только к	3	3
18	но в	6	3
19	как и	4	3
20	все же	6	3
21	не следует	3	3
22	в своей	4	3
23	в частности	11	3
24	же время	3	3
25	для него	4	3
26	это не	3	3
27	в то	5	3
28	было бы	2	3
29	и т.д	4	3
30	в области	2	3
31	у нас	2	3
32	том что	13	2
33	но не	3	2
34	в том	14	2
35	не все	2	2
36	мы не	2	2
37	с его	3	2
38	не в	8	2
39	и для	3	2
40	но это	2	2
41	должна быть	2	2
42	не столько	5	2
43	о чем	2	2
44	если бы	4	2
45	не случайно	2	2
46	только в	11	2
47	что он	5	2
48	и у	4	2
49	в себе	8	2
50	как раз	3	2
51	в конце	4	2
52	могли бы	2	2
53	если не	2	2
54	этом отношении	3	2
55	в самом	2	2
56	в итоге	3	2
57	превращается в	2	2
58	сводится к	9	2
59	ничего не	6	2
60	самом деле	3	2
61	а как	3	2
62	что она	2	2
63	что и	2	2
64	в его	6	2
65	более чем	2	2
66	между тем	3	2
67	таким образом	5	2
