N	2gram	Losev_Prob_4	Tvorches
1	у достоевского	4	28
2	и в	20	21
3	как бы	4	17
4	в то	4	15
5	в его	3	13
6	то же	7	13
7	в романах	2	13
8	что в	3	12
9	как и	6	12
10	то есть	27	12
11	с его	2	11
12	том что	12	11
13	все это	9	10
14	как в	5	8
15	он не	2	8
16	то что	15	8
17	в том	20	7
18	тем самым	4	7
19	при этом	6	7
20	не только	24	7
21	и не	28	7
22	и на	3	7
23	но в	8	7
24	что он	8	6
25	жизни в	2	6
26	и все	8	6
27	не менее	10	6
28	для него	3	6
29	в котором	2	6
30	человека в	3	6
31	а в	4	6
32	и его	10	6
33	в этом	9	6
34	xix века	2	6
35	о том	5	6
36	это уже	3	5
37	отнюдь не	10	5
38	вовсе не	21	5
39	а не	7	5
40	но это	6	5
41	может быть	9	5
42	в этой	4	5
43	все же	2	5
44	таким образом	8	5
45	хотя бы	7	5
46	потому что	15	5
47	как будто	11	5
48	только в	23	5
49	в своем	3	4
50	прежде всего	11	4
51	и как	3	4
52	времени и	4	4
53	одной из	4	4
54	в петербурге	2	4
55	в своей	4	4
56	не может	5	4
57	это не	7	4
58	и от	6	4
59	в эпилоге	3	4
60	не существует	5	3
61	уже в	4	3
62	с другой	7	3
63	с ним	4	3
64	говорит о	2	3
65	с ее	2	3
66	это и	4	3
67	но не	5	3
68	со всеми	2	3
69	на его	2	3
70	в самом	2	3
71	но если	6	3
72	в нем	5	3
73	и т	4	3
74	жизни и	5	3
75	но и	14	3
76	дело не	3	3
77	уже не	5	3
78	тут и	4	3
79	на земле	2	3
80	на самом	5	3
81	там же	2	3
82	и даже	9	3
83	не так	3	3
84	и по	2	3
85	так же	5	3
86	в которой	2	3
87	петербург достоевского	3	3
88	и с	7	3
89	хотя и	5	3
90	в виде	22	3
91	человеческих отношений	4	3
92	приходит к	2	3
93	далеко не	2	3
94	дело в	2	3
95	в идиоте	2	3
96	так как	5	3
97	ни на	3	3
98	перед нами	13	2
99	верит в	2	2
100	в частности	2	2
101	однако в	2	2
102	в этих	5	2
103	в качестве	10	2
104	по крайней	6	2
105	у пушкина	3	2
106	точно так	3	2
107	в жизни	3	2
108	в литературе	2	2
109	есть не	6	2
110	можно сказать	5	2
111	что и	3	2
112	крайней мере	6	2
113	что его	4	2
114	самое время	2	2
115	об этом	6	2
116	так что	6	2
117	не в	13	2
118	то в	2	2
119	того же	2	2
120	тот же	2	2
121	из них	3	2
122	действительности и	5	2
123	к тому	3	2
124	только на	2	2
125	по преимуществу	2	2
126	в ней	7	2
127	же и	3	2
128	к ней	2	2
129	и когда	2	2
130	из себя	2	2
131	здесь нет	3	2
132	и тем	7	2
133	тем не	10	2
134	не будет	2	2
135	вместе с	5	2
136	но она	3	2
137	данном случае	5	2
138	так и	10	2
139	говорит что	2	2
140	который является	2	2
141	именно в	7	2
142	еще более	2	2
143	мы находим	2	2
144	что она	4	2
145	но только	2	2
146	здесь мы	3	2
147	в одно	6	2
148	самом деле	3	2
149	на миг	2	2
150	что не	4	2
151	и наконец	4	2
152	и он	2	2
153	и притом	2	2
154	только что	2	2
155	медный всадник	4	2
156	или в	5	2
157	свидетельствует о	2	2
158	сказать что	7	2
159	гоголя и	3	2
160	в данном	6	2
161	в себе	12	2
162	при помощи	10	2
163	в чем	2	2
164	не то	2	2
165	нет ни	4	2
166	значит что	8	2
167	в виду	6	2
