N	2gram	Propp_Isto_1	Otkroven
1	и в	28	19
2	но и	10	13
3	и не	9	13
4	в этом	8	12
5	а не	15	11
6	не в	9	11
7	может быть	25	11
8	не только	12	11
9	вопрос о	5	10
10	в нем	2	10
11	никогда не	14	9
12	потому что	4	9
13	прежде всего	10	9
14	и он	3	8
15	в глубине	2	7
16	он не	2	7
17	в его	5	7
18	все это	4	6
19	как и	4	6
20	то что	9	5
21	а в	7	5
22	в том	9	5
23	для него	2	5
24	в этой	6	5
25	т е	10	4
26	что не	2	4
27	и его	3	4
28	все эти	4	4
29	не может	15	4
30	что в	12	4
31	не могут	2	3
32	в этих	7	3
33	это не	7	3
34	и вот	2	3
35	что он	10	3
36	того что	4	3
37	хотя бы	4	3
38	еще не	7	3
39	и от	2	3
40	могут быть	4	3
41	в себе	2	3
42	было бы	7	3
43	когда он	6	3
44	в русской	2	3
45	никто не	2	3
46	о том	9	3
47	с ним	2	3
48	как бы	2	3
49	это за	3	3
50	это было	2	3
51	все же	10	2
52	что и	6	2
53	не есть	2	2
54	ее в	5	2
55	он в	2	2
56	и для	4	2
57	с тем	4	2
58	всего в	2	2
59	так и	9	2
60	в своем	5	2
61	что же	3	2
62	не все	4	2
63	к этому	2	2
64	по себе	3	2
65	должно быть	2	2
66	в ее	2	2
67	их не	2	2
68	том что	7	2
69	так что	4	2
70	в другом	3	2
71	и на	4	2
72	что они	5	2
73	сказать что	5	2
74	и с	4	2
75	тем что	3	2
76	с чего	2	2
77	мысль о	2	2
78	его в	6	2
79	должен был	3	2
80	так как	6	2
81	и этим	2	2
82	ничего не	2	2
83	но в	8	2
84	и потому	2	2
