N	2gram	Nazirov_Vr_1	Istorich
1	и в	8	22
2	в этом	8	17
3	т е	3	16
4	что в	7	15
5	не только	9	14
6	но и	7	12
7	и не	5	12
8	может быть	4	11
9	еще не	2	10
10	таким образом	2	10
11	но в	6	10
12	что он	4	9
13	в нем	6	9
14	вместе с	2	9
15	в том	3	9
16	том что	3	8
17	к этому	3	7
18	то что	7	7
19	из них	2	7
20	уже не	2	7
21	связи с	3	6
22	в них	2	6
23	это не	4	6
24	а в	2	6
25	то же	5	6
26	так в	2	6
27	во время	2	6
28	не менее	2	5
29	все же	6	5
30	он не	3	5
31	в этой	2	5
32	в свою	2	4
33	одним из	3	4
34	отношение к	2	4
35	для нас	4	4
36	его и	2	4
37	и его	3	4
38	не может	2	4
39	но он	3	4
40	тем что	3	4
41	и с	6	4
42	я не	3	3
43	что у	3	3
44	целый ряд	4	3
45	о себе	3	3
46	и все	7	3
47	как и	6	3
48	и как	3	3
49	но это	2	3
50	у него	5	3
51	в его	3	3
52	никогда не	2	3
53	в русских	2	3
54	в связи	3	3
55	и у	3	3
56	так же	4	3
57	и ее	2	3
58	далеко не	3	3
59	в русской	3	3
60	о том	4	3
61	его в	3	3
62	при помощи	2	3
63	их в	2	3
64	в чем	3	3
65	после смерти	2	2
66	не было	5	2
67	матери и	3	2
68	ко мне	2	2
69	мы знаем	2	2
70	же в	2	2
71	об этой	2	2
72	одна из	2	2
73	при этом	4	2
74	не мог	2	2
75	и о	3	2
76	же как	2	2
77	в ней	4	2
78	его на	2	2
79	и он	2	2
80	в этот	3	2
81	в котором	6	2
82	и уже	3	2
83	и это	2	2
84	после этого	2	2
85	который был	3	2
86	в своем	3	2
87	там же	2	2
88	и что	8	2
89	и даже	6	2
90	ряд деталей	2	2
91	и то	2	2
92	между тем	5	2
93	точки зрения	2	2
94	в то	5	2
95	на это	2	2
96	а также	2	2
97	в него	2	2
98	же не	2	2
