N	2gram	Voloshinov_2	Otkroven
1	у него	2	22
2	и в	19	19
3	но и	10	13
4	и не	19	13
5	в этом	15	12
6	а не	9	11
7	не в	10	11
8	может быть	28	11
9	не только	13	11
10	и все	6	10
11	вопрос о	2	10
12	в нем	11	10
13	никогда не	7	9
14	не было	3	9
15	прежде всего	7	9
16	и он	2	8
17	он был	2	8
18	лишь в	14	7
19	до конца	2	7
20	от него	2	7
21	он не	3	7
22	в его	5	7
23	как и	9	6
24	то что	4	5
25	а в	3	5
26	в том	7	5
27	для него	9	5
28	в этой	3	5
29	в самом	6	5
30	с его	8	4
31	того чтобы	6	4
32	что не	2	4
33	и его	16	4
34	все эти	3	4
35	не может	18	4
36	что в	2	4
37	к нему	5	3
38	нем нет	2	3
39	в этих	3	3
40	мысли и	3	3
41	это не	4	3
42	что он	4	3
43	различие между	2	3
44	того что	4	3
45	для того	6	3
46	хотя бы	6	3
47	еще не	3	3
48	и от	3	3
49	могут быть	3	3
50	и ее	4	3
51	в себе	4	3
52	было бы	4	3
53	о том	3	3
54	как бы	19	3
55	это было	2	3
56	уже в	2	2
57	все же	5	2
58	что и	3	2
59	не есть	3	2
60	в душе	4	2
61	и для	7	2
62	в единстве	4	2
63	в истории	3	2
64	так и	10	2
65	в своем	2	2
66	то к	2	2
67	к этому	5	2
68	по себе	3	2
69	ко всем	2	2
70	не имеет	3	2
71	должно быть	3	2
72	в ее	3	2
73	том что	10	2
74	в другом	3	2
75	и на	5	2
76	и то	3	2
77	из всего	2	2
78	что они	2	2
79	сказать что	4	2
80	и с	2	2
81	учение о	3	2
82	тем что	2	2
83	даже и	2	2
84	ведь это	2	2
85	его в	7	2
86	в своей	3	2
87	так как	3	2
88	и о	2	2
89	ничего не	4	2
90	но в	7	2
91	и потому	2	2
