N	2gram	Nazirov_Tr_1	DiskursI
1	в себе	4	19
2	при этом	3	17
3	и в	18	16
4	может быть	7	16
5	как и	5	16
6	в этом	9	16
7	и не	7	15
8	в частности	2	12
9	в отличие	2	12
10	отличие от	2	12
11	то есть	3	12
12	в мире	3	11
13	но и	4	11
14	но в	6	11
15	том что	4	10
16	не только	8	10
17	своего рода	3	10
18	так и	5	9
19	не может	5	9
20	в том	2	8
21	как в	3	8
22	прежде всего	4	7
23	в нем	4	7
24	ни в	2	7
25	в данном	2	7
26	с его	2	6
27	отнюдь не	3	6
28	еще не	4	6
29	все же	5	6
30	данном случае	2	6
31	то же	5	6
32	тем самым	3	6
33	что в	4	5
34	в своем	3	5
35	же время	6	5
36	для него	3	5
37	то что	4	5
38	и на	7	5
39	в то	5	5
40	в одном	2	4
41	как бы	7	4
42	времени в	2	4
43	в рассказе	2	4
44	потому что	2	4
45	в этой	4	4
46	и то	2	4
47	о том	2	4
48	перед нами	2	3
49	столь же	2	3
50	это не	5	3
51	и все	4	3
52	было в	2	3
53	уже не	2	3
54	и как	3	3
55	не в	2	3
56	он не	2	3
57	в его	3	3
58	еще в	2	3
59	к жизни	5	3
60	и ее	2	3
61	все эти	3	3
62	и его	6	3
63	но это	4	3
64	как будто	3	3
65	его в	2	3
66	одном из	2	3
67	по словам	2	2
68	никогда не	2	2
69	в целом	4	2
70	в ходе	2	2
71	что он	6	2
72	отношение к	2	2
73	о чем	3	2
74	ивана петровича	6	2
75	что и	2	2
76	с ее	3	2
77	жизнью и	2	2
78	все это	4	2
79	романа и	3	2
80	должно быть	3	2
81	тут же	2	2
82	и с	7	2
83	и это	2	2
84	в записках	2	2
85	но при	2	2
