N	2gram	Berdyaev_M_1	FransuaR
1	и в	28	41
2	то есть	3	24
3	в нем	13	16
4	и с	3	16
5	и его	9	13
6	но и	25	13
7	в этом	20	12
8	все это	6	11
9	все эти	2	11
10	прежде всего	10	10
11	в самом	11	10
12	не только	29	10
13	так как	3	10
14	то что	5	10
15	и на	6	9
16	и все	10	9
17	о том	2	9
18	никогда не	14	8
19	в этой	6	8
20	но в	7	8
21	у него	17	7
22	в них	4	7
23	том что	3	7
24	как бы	2	7
25	как и	5	7
26	что в	10	7
27	в его	9	7
28	что он	10	6
29	мы видим	2	6
30	один из	4	6
31	вместе с	6	6
32	также и	2	6
33	сказать что	2	6
34	в то	2	6
35	с его	3	5
36	легенды о	2	5
37	в ее	3	5
38	и он	12	5
39	в своем	10	5
40	в той	2	5
41	и что	2	5
42	еще в	2	5
43	тем что	4	5
44	но он	9	5
45	в себе	7	5
46	уже в	4	4
47	и от	2	4
48	он был	14	4
49	у нас	5	4
50	и как	2	4
51	не в	16	4
52	все что	2	4
53	в ней	15	4
54	в котором	8	4
55	все же	2	4
56	не может	28	4
57	как в	2	4
58	того чтобы	2	4
59	одним из	2	4
60	а в	4	4
61	в основе	2	4
62	с ним	2	4
63	мы увидим	3	3
64	он сам	6	3
65	с этой	4	3
66	с этим	3	3
67	до сих	2	3
68	было бы	10	3
69	в начале	2	3
70	конечно не	3	3
71	и их	3	3
72	не мог	3	3
73	в него	3	3
74	жизни и	2	3
75	к этим	2	3
76	связано с	2	3
77	сих пор	2	3
78	не остается	2	3
79	и самый	2	3
80	и для	2	3
81	и не	11	3
82	того что	7	3
83	к нему	7	3
84	есть только	2	3
85	людей и	2	3
86	только в	6	3
87	потому что	16	3
88	не могут	5	2
89	не был	7	2
90	мы еще	2	2
91	ведь это	2	2
92	связана с	2	2
93	в этих	4	2
94	и во	2	2
95	в конце	7	2
96	переходит в	15	2
97	духа в	3	2
98	человека и	14	2
99	что человек	3	2
100	человека с	2	2
101	для нас	3	2
102	из самых	8	2
103	в том	6	2
104	это и	4	2
105	через все	2	2
106	литературы и	2	2
107	от него	4	2
108	на этом	3	2
109	но не	8	2
110	от мира	2	2
111	есть и	3	2
112	должна быть	6	2
113	до конца	14	2
114	никто не	2	2
115	может быть	30	2
116	за пределы	4	2
117	в своей	15	2
118	он не	24	2
119	и когда	2	2
120	но если	3	2
121	и потому	10	2
122	был бы	10	2
123	должен быть	2	2
124	себя в	3	2
125	был в	4	2
126	в центре	2	2
127	в истории	2	2
128	лишь в	6	2
129	а не	25	2
130	и у	2	2
131	и те	2	2
132	он в	2	2
133	точки зрения	4	2
134	как он	2	2
135	бы в	2	2
136	мира и	5	2
