N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	56
2	в его	2	18
3	таким образом	11	17
4	все эти	5	15
5	в этом	7	14
6	в том	4	13
7	как бы	4	11
8	то же	3	11
9	еще не	3	10
10	в самом	2	9
11	и не	6	9
12	не только	4	8
13	в нем	3	8
14	все это	3	8
15	и даже	2	8
16	у него	2	7
17	как мы	2	7
18	прежде всего	5	6
19	мы видим	2	6
20	в этой	3	6
21	той же	2	6
22	на его	2	6
23	точки зрения	12	6
24	и все	3	6
25	но в	3	6
26	в условиях	5	5
27	как и	6	5
28	мы видели	4	5
29	что в	2	5
30	роль в	2	5
31	в результате	6	5
32	такой же	2	5
33	так сказать	2	5
34	в области	3	5
35	что все	2	4
36	времени и	2	4
37	что это	2	4
38	в себе	3	4
39	и к	3	4
40	и потому	3	4
41	с одной	2	4
42	при этом	3	4
43	их в	4	4
44	так как	4	4
45	одна из	3	4
46	в которой	2	4
47	видели что	3	3
48	не подлежит	3	3
49	может быть	12	3
50	в некоторых	2	3
51	в настоящее	2	3
52	с помощью	4	3
53	уже не	2	3
54	и наконец	5	3
55	не в	3	3
56	настоящее время	2	3
57	и т.д	3	3
58	подлежит сомнению	2	3
59	в виде	2	2
60	в нашем	2	2
61	на котором	2	2
62	это не	4	2
63	уже в	3	2
64	и во	2	2
65	в одном	3	2
66	конечно в	2	2
67	а на	2	2
68	было бы	3	2
69	из них	4	2
70	а в	4	2
71	все те	2	2
72	на две	3	2
73	в развитии	4	2
74	все же	3	2
75	вместе с	4	2
76	самом деле	2	2
77	что она	3	2
78	не может	17	2
79	то ни	2	2
80	у всех	3	2
81	а не	3	2
82	из которых	2	2
83	с точки	5	2
84	мы не	9	2
