N	2gram	Losev_Vlad_3	Analitik
1	в этом	16	18
2	и в	40	16
3	не только	25	16
4	так и	6	15
5	как и	7	14
6	в том	18	12
7	но и	18	12
8	и не	25	12
9	том что	18	12
10	в качестве	3	11
11	как бы	3	10
12	при этом	3	10
13	а не	8	10
14	и даже	6	9
15	в этой	8	9
16	ничего не	5	9
17	то есть	24	9
18	в данном	5	8
19	отнюдь не	5	8
20	в целом	2	8
21	к тому	7	7
22	в себе	9	7
23	то что	28	7
24	о том	11	7
25	а также	8	7
26	с другой	5	6
27	в самом	4	6
28	в мире	2	6
29	и на	6	6
30	может быть	8	6
31	как это	4	6
32	но в	4	6
33	говорит о	4	5
34	в сторону	2	5
35	и к	2	5
36	данном случае	2	5
37	с одной	3	5
38	на себя	2	5
39	не менее	9	4
40	в своем	8	4
41	в конце	12	4
42	у него	24	4
43	уже не	9	4
44	тому же	5	4
45	не в	3	4
46	за пределы	3	4
47	но не	4	4
48	того же	2	4
49	тем самым	2	4
50	для него	8	4
51	одной стороны	3	4
52	в сущности	2	4
53	по преимуществу	2	4
54	и тем	3	4
55	не с	4	4
56	как раз	10	4
57	не может	14	4
58	и его	10	4
59	то же	4	4
60	не так	3	4
61	хотя и	7	4
62	точки зрения	13	4
63	только в	13	4
64	содержит в	5	3
65	не был	8	3
66	никогда не	11	3
67	в нашем	2	3
68	не столько	3	3
69	что касается	2	3
70	прежде всего	10	3
71	что на	2	3
72	одной из	2	3
73	тем не	10	3
74	не мог	6	3
75	так что	14	3
76	обращает на	2	3
77	было бы	4	3
78	несмотря на	7	3
79	и если	7	3
80	мы имеем	3	3
81	и за	2	3
82	той или	2	3
83	что и	7	3
84	себя внимание	2	3
85	из них	2	3
86	со стороны	2	3
87	в их	2	3
88	только на	5	3
89	если бы	3	3
90	этом отношении	2	3
91	именно в	3	3
92	можно было	5	3
93	а в	7	3
94	как мы	8	3
95	и то	9	3
96	в результате	4	3
97	тем что	5	3
98	сводится к	3	3
99	бы в	2	3
100	едва ли	11	3
101	и все	4	3
102	того что	7	2
103	в одном	5	2
104	что все	7	2
105	этом смысле	3	2
106	к этому	2	2
107	вовсе не	13	2
108	по себе	6	2
109	на то	4	2
110	к своему	2	2
111	свободе воли	2	2
112	он был	2	2
113	отличие от	3	2
114	по существу	4	2
115	а то	2	2
116	же время	2	2
117	что в	17	2
118	с их	3	2
119	она не	2	2
120	еще не	4	2
121	такого рода	4	2
122	в своей	9	2
123	ни с	3	2
124	некоторого рода	5	2
125	не о	2	2
126	еще в	5	2
127	в котором	4	2
128	даже в	4	2
129	это было	3	2
130	не есть	10	2
131	как говорит	2	2
132	в отличие	3	2
133	вместе с	7	2
134	на него	2	2
135	что она	2	2
136	другой стороны	2	2
137	собственно говоря	3	2
138	отношения к	5	2
139	таким образом	11	2
140	здесь в	4	2
141	свидетельствует о	2	2
142	не имеет	4	2
143	и для	3	2
144	с точки	6	2
145	так же	8	2
146	роль в	2	2
147	в таком	3	2
148	никак не	4	2
149	об этих	2	2
150	он не	8	2
151	к его	2	2
152	о свободе	2	2
153	в то	7	2
154	в его	14	2
155	его в	2	2
156	в этих	2	2
157	таком случае	2	2
158	сказать что	12	2
159	же не	2	2
