N	2gram	Berdyaev_N_1	Vvedenie
1	и в	16	32
2	в том	8	31
3	в этом	7	30
4	может быть	7	26
5	том что	2	26
6	не только	5	22
7	того чтобы	2	20
8	то что	4	16
9	потому что	4	15
10	не может	16	14
11	в нем	5	13
12	о том	4	13
13	и не	11	12
14	что такое	3	11
15	в ее	3	11
16	что в	9	10
17	но в	2	9
18	в истории	3	9
19	этом смысле	2	9
20	не менее	4	8
21	с другой	3	8
22	это не	4	8
23	не в	6	8
24	прежде всего	4	7
25	вопрос о	3	7
26	но не	2	7
27	можно было	2	7
28	смысле слова	3	6
29	том чтобы	2	6
30	но и	3	6
31	все это	5	6
32	и даже	2	6
33	в то	2	6
34	с тем	3	6
35	как и	7	6
36	хотя бы	2	6
37	и это	2	6
38	другой стороны	2	5
39	с их	2	5
40	сказать что	3	5
41	в них	4	5
42	быть в	2	5
43	по своему	4	5
44	не есть	3	5
45	вместе с	2	5
46	а не	17	5
47	могут быть	2	5
48	связана с	2	4
49	времени и	2	4
50	одной стороны	2	4
51	с одной	2	4
52	и что	2	4
53	не имеет	4	4
54	а в	2	4
55	как это	2	4
56	и заключается	2	4
57	еще не	3	4
58	в своей	3	4
59	истории и	9	4
60	уже не	2	4
61	и для	4	4
62	в себе	2	4
63	совсем не	12	3
64	зависит от	2	3
65	и есть	10	3
66	к тому	3	3
67	такого рода	2	3
68	хотя и	2	3
69	в ней	5	3
70	духовной жизни	2	3
71	что она	2	3
72	все эти	2	3
73	так же	2	3
74	и на	2	3
75	культуры в	5	3
76	и к	5	3
77	которых не	2	3
78	должен быть	5	3
79	времени в	2	3
80	вот почему	2	3
81	в центре	2	3
82	как будто	2	3
83	все время	2	2
84	же как	2	2
85	должна быть	3	2
86	никогда не	6	2
87	для этого	2	2
88	нового типа	2	2
89	это есть	7	2
90	но это	6	2
91	истории в	5	2
92	жизни как	2	2
93	не к	2	2
94	мы говорим	2	2
95	не было	4	2
96	должно быть	4	2
97	и с	2	2
98	с этим	2	2
99	когда мы	2	2
100	и должно	2	2
101	так и	2	2
102	и творчества	2	2
103	не существует	3	2
104	истории не	3	2
105	ни к	2	2
106	к самой	2	2
107	природе и	2	2
108	по существу	2	2
109	во всех	3	2
110	в прошлом	3	2
111	жизни и	8	2
112	ни одна	2	2
113	мысли и	2	2
114	движение от	2	2
115	мы не	2	2
116	есть лишь	4	2
117	тому как	3	2
118	подобно тому	3	2
119	на протяжении	2	2
120	познания и	2	2
121	одна из	2	2
122	не могли	2	2
123	нашего времени	2	2
