N	3gram	Bakhtin_fo_1	slovoVRo
1	и т п	8	33
2	не может быть	3	15
3	в отличие от	2	12
4	той или иной	2	5
5	с одной стороны	2	5
6	то же время	9	4
7	в то же	6	4
8	в том что	2	4
9	на античной почве	6	4
10	по отношению к	3	4
11	но все же	2	4
12	в нем в	2	3
13	с точки зрения	2	3
14	одной стороны и	2	3
15	можно прямо сказать	2	3
16	в этом отношении	3	3
17	в их целом	2	2
18	прямо сказать что	2	2
19	а также и	2	2
20	ни в чем	2	2
21	в точном смысле	2	2
22	не только в	2	2
23	может быть и	2	2
24	и в особенности	2	2
25	человека и его	7	2
26	в чем не	2	2
27	в романе не	2	2
28	в связи с	5	2
29	как мы уже	8	2
30	до сих пор	3	2
31	и в сущности	2	2
32	в мировой литературе	2	2
33	для того чтобы	5	2
