N	2gram	Savitsky_P_1	Psycholo
1	и в	14	38
2	то что	4	35
3	в том	9	25
4	что в	4	20
5	может быть	5	19
6	точки зрения	3	16
7	в ней	6	15
8	если бы	4	14
9	том что	4	14
10	как бы	4	14
11	и т	3	14
12	потому что	3	14
13	и мы	2	13
14	в этом	10	13
15	было бы	6	12
16	не только	17	12
17	не в	5	12
18	то же	9	10
19	и не	12	10
20	с точки	3	9
21	с тем	3	8
22	с этим	2	8
23	для нас	2	8
24	и как	3	8
25	как раз	2	8
26	для того	3	8
27	и это	2	8
28	с другой	5	7
29	в ее	2	7
30	а не	2	7
31	никак не	2	7
32	не может	4	7
33	а в	4	7
34	заключается в	3	7
35	между тем	3	7
36	из них	2	6
37	и если	4	6
38	в котором	4	6
39	с одной	3	6
40	к чему	2	6
41	в которых	5	6
42	в своем	4	5
43	одной стороны	3	5
44	время в	2	5
45	но и	6	5
46	мы не	3	5
47	в его	2	5
48	которую мы	2	4
49	во всех	2	4
50	в нем	3	4
51	того что	2	4
52	только в	7	4
53	одна из	2	4
54	в себе	3	4
55	как на	2	3
56	в них	2	3
57	главным образом	2	3
58	и к	4	3
59	а я	5	3
60	тот же	3	3
61	наряду с	3	3
62	и о	5	3
63	не к	2	3
64	все это	2	3
65	и тем	2	3
66	в то	7	3
67	но в	9	3
68	в общем	2	2
69	отнюдь не	2	2
70	хотя бы	8	2
71	столь же	3	2
72	с с	2	2
73	друг другу	2	2
74	же в	4	2
75	в силу	2	2
76	есть в	2	2
77	например в	2	2
78	в которую	2	2
79	со стороны	2	2
80	отношения к	2	2
81	в виде	2	2
82	и вот	2	2
83	думать что	2	2
84	в качестве	9	2
85	р и	6	2
86	в русской	4	2
87	в эту	2	2
