N	2gram	Voloshinov_1	Morfolog
1	может быть	26	52
2	и пр	12	40
3	таким образом	17	20
4	не может	24	17
5	могут быть	2	15
6	с этим	4	14
7	и в	19	13
8	в этом	16	13
9	и др	2	12
10	так как	2	12
11	связи с	11	11
12	прежде всего	13	9
13	этом случае	3	9
14	так и	11	9
15	в связи	7	9
16	то же	7	9
17	и не	26	9
18	а не	7	9
19	с другой	5	8
20	что и	2	8
21	в результате	9	8
22	вопрос о	4	7
23	в качестве	2	7
24	но если	2	7
25	все же	8	7
26	не могут	3	6
27	и здесь	6	6
28	в том	6	6
29	а в	4	6
30	не менее	4	5
31	если мы	11	5
32	этот момент	2	5
33	во всех	7	5
34	далеко не	4	5
35	как бы	15	5
36	не все	2	5
37	то что	8	5
38	или в	2	5
39	мы не	6	5
40	что в	4	4
41	и как	3	4
42	вовсе не	5	4
43	тем не	2	4
44	отношению к	2	4
45	было бы	4	4
46	не только	8	4
47	как в	4	4
48	как мы	13	4
49	другой стороны	6	4
50	так же	7	4
51	по отношению	3	4
52	как и	12	4
53	там где	2	4
54	то мы	2	4
55	тем что	2	4
56	точки зрения	34	4
57	с точки	20	4
58	могла бы	2	4
59	его в	3	4
60	оно может	4	4
61	ничего не	6	4
62	связана с	2	3
63	независимо от	2	3
64	и вне	2	3
65	если бы	2	3
66	в нашем	2	3
67	между собой	2	3
68	в начале	5	3
69	в какой	3	3
70	том что	3	3
71	но все	3	3
72	кроме того	6	3
73	в пределах	6	3
74	того чтобы	5	3
75	в сущности	3	3
76	может существовать	2	3
77	во втором	2	3
78	он не	3	3
79	не является	4	3
80	в первом	3	3
81	ни в	2	3
82	но и	8	3
83	от того	4	3
84	целый ряд	3	3
85	входит в	5	3
86	пр и	2	3
87	на самом	3	3
88	самом деле	10	3
89	из которых	2	3
90	первом случае	3	3
91	и для	11	3
92	друг друга	8	3
93	мы можем	2	3
94	из них	3	3
95	и ее	3	3
96	в то	3	3
97	мы должны	3	3
98	но в	7	3
99	ни к	2	2
100	и более	2	2
101	в частности	2	2
102	хотя бы	5	2
103	к этому	5	2
104	что он	2	2
105	можно сказать	3	2
106	и к	3	2
107	на первый	2	2
108	то в	2	2
109	и при	3	2
110	совершается в	5	2
111	только в	9	2
112	от него	2	2
113	они и	2	2
114	в большинстве	3	2
115	момент в	3	2
116	для него	9	2
117	одной из	3	2
118	мы уже	2	2
119	но для	2	2
120	ни одной	2	2
121	в настоящее	6	2
122	эти формы	2	2
123	не существует	3	2
124	благодаря этому	2	2
125	то как	2	2
126	быть и	3	2
127	без всякой	2	2
128	и только	2	2
129	все эти	7	2
130	того что	3	2
131	для того	4	2
132	к другой	3	2
133	что такое	2	2
134	не имеет	3	2
135	и иных	2	2
136	и его	19	2
137	можно было	2	2
138	является в	3	2
139	в каком	3	2
140	этот вопрос	5	2
141	в другом	2	2
142	не знает	2	2
143	настоящее время	6	2
144	о том	2	2
145	ясно что	5	2
146	большинстве случаев	3	2
147	одна из	2	2
148	сказать что	4	2
149	нашей работы	3	2
