N	2gram	Propp_Isto_5	Problema
1	и не	11	28
2	не только	13	24
3	только в	7	23
4	в виде	9	22
5	вовсе не	2	21
6	в том	6	20
7	и в	25	20
8	все эти	8	16
9	то что	7	15
10	потому что	7	15
11	но и	13	14
12	точки зрения	2	14
13	перед нами	2	13
14	не в	6	13
15	том что	8	12
16	прежде всего	6	11
17	по себе	2	11
18	не менее	4	10
19	тем не	4	10
20	в качестве	7	10
21	и его	9	10
22	это значит	2	10
23	при помощи	7	10
24	может быть	17	9
25	все это	4	9
26	в этом	10	9
27	если бы	2	8
28	что он	22	8
29	таким образом	9	8
30	и все	3	8
31	значит что	2	8
32	с другой	9	7
33	это не	6	7
34	ясно что	5	7
35	еще не	8	7
36	мы не	5	7
37	и потому	2	7
38	и тем	4	7
39	то же	4	7
40	а не	2	7
41	сказать что	2	7
42	и с	3	7
43	в ней	5	7
44	об этом	2	6
45	так что	2	6
46	для нас	5	6
47	как и	7	6
48	но это	7	6
49	что здесь	3	6
50	другой стороны	8	6
51	в одно	2	6
52	в данном	3	6
53	и вообще	3	6
54	мы имеем	14	6
55	но не	5	5
56	в нем	7	5
57	можно сказать	2	5
58	в целях	3	5
59	в ее	4	5
60	жизни и	2	5
61	вместе с	22	5
62	данном случае	2	5
63	как в	6	5
64	так же	5	5
65	не может	6	5
66	так как	11	5
67	уже не	11	5
68	или в	6	5
69	в этих	6	5
70	о том	7	5
71	уже в	2	4
72	с тем	8	4
73	и для	2	4
74	что его	3	4
75	в этой	3	4
76	несмотря на	2	4
77	в своей	2	4
78	как бы	2	4
79	и т	20	4
80	же в	2	4
81	во всех	2	4
82	с этим	5	4
83	а в	3	4
84	в то	3	4
85	здесь как	2	4
86	с ним	4	4
87	в связи	4	3
88	человека в	3	3
89	уже и	2	3
90	в мифе	7	3
91	это уже	2	3
92	если не	4	3
93	как мы	5	3
94	здесь мы	5	3
95	и как	3	3
96	но все	5	3
97	связи с	8	3
98	в истории	4	3
99	а еще	2	3
100	есть миф	3	3
101	совершенно не	2	3
102	в его	12	3
103	то это	3	3
104	что и	6	3
105	что в	8	3
106	т д	18	3
107	самом деле	2	3
108	для того	3	3
109	из которых	2	3
110	что мы	2	3
111	к нему	3	3
112	с другими	4	3
113	и на	8	3
114	тем что	10	3
115	из них	2	3
116	к его	2	3
117	мы должны	4	3
118	а если	2	3
119	мы можем	2	3
120	в частности	7	2
121	из себя	4	2
122	что во	2	2
123	но так	2	2
124	меня в	2	2
125	ему в	3	2
126	о которых	2	2
127	то в	2	2
128	в пределах	4	2
129	том как	2	2
130	в это	2	2
131	что это	5	2
132	том чтобы	2	2
133	он не	4	2
134	никто не	3	2
135	только один	3	2
136	этого дерева	2	2
137	все же	10	2
138	на этой	4	2
139	себя в	6	2
140	не будем	5	2
141	с ней	2	2
142	говорит о	2	2
143	а именно	4	2
144	будем здесь	2	2
145	совершенно ясно	4	2
146	и что	8	2
147	мы здесь	4	2
148	того чтобы	3	2
149	и он	6	2
150	и по	2	2
151	друг друга	3	2
152	в других	2	2
153	за ним	4	2
154	во всем	2	2
155	его в	9	2
156	и это	4	2
157	в которой	4	2
158	того же	2	2
159	это было	2	2
