N	2gram	Bakhtin_fo_1	Hudozhes
1	в качестве	3	19
2	то есть	33	18
3	и не	14	16
4	в том	9	15
5	и в	50	15
6	не только	9	15
7	в частности	6	13
8	может быть	11	13
9	при этом	3	12
10	а в	3	12
11	и его	16	12
12	но не	5	11
13	в этом	25	11
14	в себе	3	11
15	как бы	2	10
16	отношению к	5	10
17	но и	8	10
18	так и	12	10
19	по отношению	3	10
20	то же	11	10
21	а не	3	10
22	в его	13	9
23	точки зрения	5	9
24	с другой	2	7
25	или иной	2	7
26	в отличие	2	7
27	в то	9	7
28	отличие от	2	7
29	но в	10	7
30	в основе	5	6
31	с его	9	6
32	что в	5	6
33	в ее	6	6
34	том что	4	6
35	не в	5	6
36	же время	9	6
37	отношение к	2	6
38	не может	6	6
39	могут быть	5	5
40	а также	2	5
41	ни в	8	5
42	только в	4	5
43	в самом	8	5
44	того что	2	5
45	той или	2	5
46	в нем	24	5
47	с ее	6	5
48	то что	6	5
49	между ними	3	5
50	и т.п	4	5
51	в их	6	5
52	уже не	2	5
53	героя и	7	5
54	место в	2	4
55	в этих	3	4
56	прежде всего	15	4
57	к тому	3	4
58	а только	2	4
59	и как	10	4
60	для него	2	4
61	еще не	5	4
62	например в	6	4
63	хотя и	3	4
64	он не	5	4
65	в своей	2	4
66	в форме	3	4
67	во времени	3	4
68	входит в	3	4
69	отношения к	3	4
70	самим собой	2	4
71	и то	4	4
72	сказать что	3	4
73	не знает	3	4
74	личности и	2	3
75	если бы	5	3
76	в отношении	3	3
77	он должен	2	3
78	это не	6	3
79	одного и	5	3
80	была бы	2	3
81	и к	2	3
82	и того	6	3
83	в пределах	5	3
84	того же	8	3
85	в свою	2	3
86	одно и	3	3
87	со своей	3	3
88	имеет место	3	3
89	как раз	13	3
90	человеческой жизни	6	3
91	далеко не	2	3
92	в целом	2	3
93	таким образом	11	3
94	как и	8	3
95	в той	4	3
96	лишь в	6	3
97	во втором	2	3
98	с точки	2	3
99	во всей	3	3
100	и для	4	3
101	в таком	3	3
102	их в	3	3
103	потому что	4	3
104	автора и	2	3
105	но он	2	3
106	и ее	3	3
107	в данном	2	3
108	его в	3	3
109	в которой	2	3
110	в виду	3	3
111	том числе	4	2
112	в порядке	3	2
113	но на	4	2
114	ни к	3	2
115	себя и	3	2
116	числе и	2	2
117	в нашем	2	2
118	жизни в	8	2
119	в своем	4	2
120	в них	4	2
121	не как	2	2
122	в пространстве	5	2
123	в одном	3	2
124	человека и	11	2
125	вовсе не	13	2
126	вследствие этого	3	2
127	по себе	2	2
128	в литературе	16	2
129	совершенно иной	3	2
130	роль в	9	2
131	к своему	2	2
132	об этом	2	2
133	с самим	5	2
134	есть в	2	2
135	одна из	2	2
136	времени и	10	2
137	в глаза	2	2
138	в значительной	2	2
139	с их	2	2
140	одной стороны	2	2
141	мира в	3	2
142	никто не	2	2
143	во всех	6	2
144	одной из	3	2
145	и потому	3	2
146	частной жизни	23	2
147	к жизни	2	2
148	на почве	2	2
149	не является	2	2
150	для себя	7	2
151	оно не	2	2
152	не могло	5	2
153	и др	9	2
154	хронотоп в	5	2
155	принадлежит к	2	2
156	по преимуществу	3	2
157	но она	2	2
158	как в	6	2
159	могло быть	4	2
160	жизни то	2	2
161	было и	4	2
162	и прежде	2	2
163	здесь не	4	2
164	в романе	32	2
165	с одной	3	2
166	именно в	3	2
167	все эти	9	2
168	этом мире	2	2
169	не входит	2	2
170	того чтобы	5	2
171	для того	5	2
172	времени в	7	2
173	и по	2	2
174	или в	3	2
175	к другому	2	2
176	так же	6	2
177	с ним	2	2
178	с другими	3	2
179	и на	8	2
180	между двумя	6	2
181	у него	6	2
182	одно из	3	2
183	самим собою	3	2
184	жизни но	5	2
185	и это	4	2
186	всей его	2	2
187	в чем	2	2
188	мире и	2	2
