N	2gram	Savitsky_E_1	Myslijsy
1	потому что	3	46
2	то есть	6	34
3	в том	11	32
4	и в	37	30
5	может быть	6	28
6	то же	15	23
7	не только	18	21
8	только в	9	21
9	для нас	4	20
10	но и	14	19
11	том что	6	18
12	то что	6	18
13	того что	7	18
14	что в	21	17
15	не есть	2	17
16	по себе	4	16
17	в себе	9	16
18	не в	5	15
19	и не	14	15
20	а не	2	15
21	таким образом	2	14
22	что и	3	13
23	так как	7	13
24	вместе с	2	12
25	а в	2	12
26	если бы	2	12
27	так и	10	11
28	как и	7	10
29	как в	3	10
30	и что	2	10
31	в этом	12	10
32	в то	16	10
33	было бы	8	9
34	мы не	4	9
35	между тем	8	9
36	тогда когда	2	9
37	в самом	4	8
38	в ней	4	8
39	и то	2	8
40	с другой	7	7
41	вовсе не	6	7
42	к тому	8	7
43	как мы	5	7
44	с тем	3	7
45	но не	5	7
46	есть не	2	7
47	с одной	8	7
48	тем самым	5	7
49	тем что	3	7
50	и теперь	2	6
51	с этим	2	6
52	из них	3	6
53	не может	9	6
54	не имеет	4	6
55	не могут	2	5
56	независимо от	4	5
57	в них	3	5
58	думать что	8	5
59	в каком	4	5
60	и как	2	5
61	же время	14	5
62	в своем	14	5
63	очевидно что	3	5
64	и тем	3	5
65	заключает в	3	5
66	как на	3	5
67	с другими	2	5
68	сказать что	4	5
69	к ней	4	5
70	что это	2	4
71	столь же	5	4
72	и от	3	4
73	мы видели	3	4
74	для понимания	2	4
75	в смысле	9	4
76	в его	2	4
77	в котором	2	4
78	себе не	3	4
79	тем более	4	4
80	не к	2	4
81	другой стороны	2	4
82	он не	2	4
83	для того	6	4
84	и по	5	4
85	мы должны	2	4
86	далеко не	2	4
87	и потому	5	4
88	место в	3	3
89	за тем	2	3
90	не говоря	2	3
91	могут быть	2	3
92	прежде всего	9	3
93	и все	2	3
94	что все	2	3
95	не можем	2	3
96	именно в	4	3
97	есть в	2	3
98	не будет	3	3
99	свою очередь	2	3
100	мы можем	3	3
101	само по	4	3
102	в свою	3	3
103	бы ни	3	3
104	можно сказать	4	3
105	одной стороны	8	3
106	вслед за	6	3
107	как бы	6	3
108	с и	10	3
109	время в	3	3
110	со стороны	5	3
111	того чтобы	6	3
112	к нему	2	3
113	в силу	2	3
114	так же	9	3
115	в таком	3	3
116	или в	2	3
117	и на	6	3
118	можно думать	3	3
119	там где	3	3
120	заметить что	2	3
121	во многом	2	2
122	и та	2	2
123	значение только	2	2
124	с т	2	2
125	в какой	2	2
126	эти последние	2	2
127	в одном	2	2
128	нам кажется	7	2
129	в некотором	4	2
130	на то	6	2
131	не дает	3	2
132	от них	3	2
133	другой и	2	2
134	одной из	5	2
135	будет ли	2	2
136	в ее	8	2
137	мы видим	2	2
138	в этой	2	2
139	по своему	7	2
140	но как	2	2
141	она не	2	2
142	несмотря на	4	2
143	и мы	3	2
144	и если	2	2
145	даже в	4	2
146	же в	2	2
147	а тем	2	2
148	жизни и	2	2
149	в своей	8	2
150	сказанному выше	2	2
151	что же	2	2
152	в их	11	2
153	целый ряд	2	2
154	в других	2	2
155	в виде	5	2
156	этом отношении	3	2
157	и человеческой	2	2
158	из того	2	2
159	и наконец	2	2
160	и даже	6	2
161	и притом	4	2
162	в которых	3	2
163	с этой	6	2
164	от этого	5	2
165	с в	2	2
166	точки зрения	23	2
167	бы в	2	2
168	отношении к	15	2
169	о том	3	2
170	некотором смысле	3	2
171	то не	2	2
172	в области	11	2
173	большей части	2	2
174	и с	2	2
