N	2gram	Propp_Russ_2	Problemy
1	и в	29	34
2	как бы	18	27
3	может быть	13	19
4	не может	5	19
5	и все	4	19
6	как и	11	18
7	но в	5	16
8	все это	10	16
9	в этом	11	16
10	и с	10	15
11	прежде всего	2	15
12	то же	4	14
13	к нему	4	14
14	т е	24	12
15	но и	8	12
16	потому что	5	12
17	в то	2	12
18	то что	5	11
19	на самом	2	11
20	с другим	2	11
21	не только	10	10
22	не в	4	9
23	а не	4	9
24	никогда не	2	8
25	и т	5	8
26	так же	4	8
27	и для	2	8
28	что в	22	7
29	все же	2	7
30	как мы	3	7
31	там где	2	7
32	и на	6	6
33	что это	3	5
34	это не	5	5
35	и от	3	5
36	так что	4	5
37	и что	5	5
38	того что	3	5
39	из них	4	5
40	таким образом	6	5
41	на них	4	5
42	а в	9	5
43	с тем	6	5
44	что и	2	5
45	с другой	2	4
46	на этом	3	4
47	при этом	6	4
48	все эти	3	4
49	его в	8	4
50	так как	13	4
51	но не	5	4
52	еще не	6	4
53	как в	7	4
54	с другими	3	4
55	тем что	3	4
56	в виде	4	4
57	вместе с	6	4
58	не менее	2	3
59	для этого	5	3
60	в том	22	3
61	совсем не	2	3
62	в глаза	2	3
63	что с	2	3
64	до конца	3	3
65	в него	2	3
66	в виду	2	3
67	в котором	3	3
68	мы видели	7	3
69	должно быть	2	3
70	их в	4	3
71	но он	3	3
72	во всем	2	3
73	в ее	3	3
74	том что	22	3
75	так чтобы	2	3
76	между тем	3	3
77	еще в	2	3
78	как можно	2	3
79	в своей	2	3
80	а с	2	3
81	и как	2	3
82	и то	2	3
83	далеко не	4	3
84	не было	2	2
85	о них	2	2
86	с этой	2	2
87	та же	2	2
88	это в	2	2
89	вопрос о	4	2
90	этом случае	6	2
91	из мертвых	2	2
92	тем не	2	2
93	один из	2	2
94	в этот	10	2
95	в форме	2	2
96	друг друга	3	2
97	т д	5	2
98	каждый из	2	2
99	в которых	4	2
100	с этим	2	2
101	о том	9	2
102	иной характер	2	2
103	на нее	6	2
104	во время	12	2
105	в них	4	2
106	он есть	2	2
107	не с	2	2
108	говорит о	2	2
109	это и	2	2
110	а к	2	2
111	должна была	5	2
112	было бы	3	2
113	во всех	3	2
114	к ней	2	2
115	так в	2	2
116	в отличие	3	2
117	жизнь и	2	2
118	уже не	4	2
119	в которой	2	2
120	тому как	3	2
121	пока еще	2	2
122	подобно тому	3	2
123	и ее	2	2
124	за ним	3	2
125	будто бы	5	2
126	отличие от	3	2
127	о чем	4	2
