N	2gram	Voloshinov_1	Myslijsy
1	потому что	4	33
2	то что	10	29
3	может быть	13	26
4	таким образом	21	24
5	в том	4	23
6	и в	15	23
7	в этом	13	23
8	и не	16	18
9	что в	6	17
10	при этом	7	15
11	только в	6	15
12	как и	6	14
13	в себе	4	14
14	то же	7	14
15	того что	2	14
16	так как	9	14
17	если бы	3	13
18	том что	5	12
19	не было	4	12
20	а не	2	12
21	по себе	2	11
22	но и	4	11
23	не в	4	11
24	не может	13	11
25	и потому	8	10
26	что мы	2	10
27	по отношению	11	10
28	не только	5	10
29	мы можем	12	10
30	между тем	2	9
31	в своем	2	8
32	было бы	6	8
33	отношению к	9	8
34	другими словами	3	8
35	мы не	4	8
36	сказать что	6	8
37	но в	9	8
38	что это	3	7
39	это не	2	7
40	в нем	4	7
41	что и	2	7
42	и что	3	7
43	вовсе не	2	7
44	могут быть	6	7
45	как в	3	7
46	мысли и	4	7
47	с этим	6	7
48	что такое	3	7
49	и к	7	6
50	вместе с	4	6
51	так и	10	6
52	не можем	3	5
53	для него	5	5
54	в его	9	5
55	как бы	11	5
56	к нему	7	5
57	бы и	2	5
58	что же	4	5
59	все это	5	5
60	не менее	3	5
61	находится в	3	5
62	должно быть	2	5
63	а в	6	5
64	с ним	12	5
65	во всяком	4	5
66	и то	2	5
67	один и	2	5
68	слова и	2	5
69	так сказать	3	5
70	думать что	2	4
71	и все	4	4
72	что все	5	4
73	что он	8	4
74	тем не	2	4
75	до сих	3	4
76	можно сказать	4	4
77	и может	4	4
78	по поводу	2	4
79	в одном	3	4
80	и о	3	4
81	от того	3	4
82	сам по	2	4
83	между ними	2	4
84	сих пор	3	4
85	на основании	2	4
86	только на	2	4
87	в истории	3	4
88	того чтобы	2	4
89	хотя бы	7	4
90	с другими	5	4
91	в таком	3	4
92	точки зрения	13	4
93	в каком	3	4
94	в данном	3	4
95	в сознании	3	4
96	в то	6	4
97	его в	8	4
98	и с	7	4
99	и есть	2	3
100	никогда не	7	3
101	в этих	2	3
102	человека и	6	3
103	не всегда	4	3
104	именно в	3	3
105	но это	2	3
106	же время	5	3
107	еще не	7	3
108	мы уже	5	3
109	к тому	4	3
110	в самом	6	3
111	образы и	2	3
112	всяком случае	3	3
113	в процессе	4	3
114	душевной жизни	6	3
115	со стороны	2	3
116	в нас	2	3
117	и таким	2	3
118	и только	4	3
119	той же	2	3
120	все эти	9	3
121	те же	4	3
122	на самом	2	3
123	уже не	5	3
124	самом деле	7	3
125	должны быть	3	3
126	и по	5	3
127	с ними	4	3
128	и на	3	3
129	и до	3	3
130	их в	2	3
131	в искусстве	3	3
132	с точки	10	3
133	в первом	2	3
134	и тот	2	3
135	возможно только	2	3
136	не существует	3	2
137	в голову	3	2
138	во время	5	2
139	я не	3	2
140	не могут	3	2
141	самого начала	5	2
142	в нашем	3	2
143	тому что	3	2
144	все что	9	2
145	жизни к	3	2
146	в состоянии	2	2
147	оно не	2	2
148	из этих	4	2
149	к сознанию	2	2
150	этом мы	3	2
151	человек не	2	2
152	в различных	2	2
153	отношение к	7	2
154	что может	3	2
155	в ее	4	2
156	у нас	3	2
157	из этого	2	2
158	об этом	4	2
159	мы и	4	2
160	в большинстве	4	2
161	есть и	2	2
162	в свою	2	2
163	она не	2	2
164	тот же	5	2
165	в сознание	9	2
166	во сне	2	2
167	которые мы	2	2
168	к другим	2	2
169	в ней	5	2
170	он не	4	2
171	и др	8	2
172	один из	4	2
173	конечно не	3	2
174	данном случае	3	2
175	что она	2	2
176	и прежде	5	2
177	и для	2	2
178	если мы	5	2
179	в течение	2	2
180	еще более	2	2
181	человека в	3	2
182	как мы	10	2
183	и у	6	2
184	и даже	2	2
185	можем сказать	2	2
186	для самого	2	2
187	что значит	2	2
188	и его	15	2
189	нас в	2	2
190	в своих	4	2
191	не следует	2	2
192	в более	3	2
193	к ней	2	2
194	в первый	4	2
195	и при	3	2
196	бы в	2	2
197	мы должны	7	2
198	но мы	2	2
199	в обществе	2	2
200	в таких	3	2
201	таком случае	2	2
202	большинстве случаев	5	2
203	представлений и	2	2
204	быть и	2	2
205	же с	2	2
206	в области	3	2
207	из него	2	2
