N	2gram	Tiupa_Hudo_1	Stilisti
1	и в	19	42
2	как бы	9	27
3	не только	16	27
4	и т.п	4	24
5	прежде всего	4	22
6	и т.д	3	20
7	внутренней речи	14	18
8	но и	10	15
9	то же	10	15
10	и не	15	14
11	может быть	14	12
12	не может	7	12
13	точки зрения	10	11
14	как и	2	11
15	и как	3	10
16	отнюдь не	2	10
17	в этом	11	10
18	при этом	13	9
19	в то	6	9
20	то что	4	9
21	для того	2	9
22	таким образом	3	8
23	тем самым	4	8
24	в себе	9	8
25	и это	2	8
26	никогда не	2	7
27	же время	5	7
28	и тем	2	7
29	и на	2	7
30	потому что	3	7
31	с его	6	7
32	а не	9	7
33	того чтобы	2	7
34	и его	12	7
35	только в	5	7
36	в которой	2	7
37	или иной	7	6
38	не в	7	6
39	в этой	2	6
40	в свою	3	6
41	в форме	4	6
42	в нем	5	6
43	во всех	3	6
44	так и	11	6
45	речи и	3	6
46	в области	6	6
47	слова в	2	5
48	в нашем	2	5
49	тому что	2	5
50	своей жизни	2	5
51	не является	4	5
52	а в	12	5
53	того или	3	5
54	как это	5	5
55	или иного	3	5
56	одно и	3	5
57	в его	9	5
58	в той	3	5
59	с точки	3	5
60	слова и	2	5
61	во внутренней	2	4
62	можно сказать	5	4
63	к тому	4	4
64	свою очередь	2	4
65	художественного творчества	4	4
66	в качестве	24	4
67	в самом	5	4
68	той или	4	4
69	один из	2	4
70	все это	2	4
71	того что	4	4
72	так же	2	4
73	о том	2	4
74	его в	2	4
75	но в	7	4
76	если бы	3	4
77	внешней речи	2	4
78	и к	3	4
79	себя в	7	4
80	а с	2	4
81	если мы	2	4
82	уже не	4	4
83	в слове	3	4
84	и то	4	4
85	то есть	18	4
86	это не	2	3
87	мы легко	2	3
88	хотя и	3	3
89	в целом	3	3
90	лишь в	4	3
91	их в	3	3
92	сказать что	4	3
93	в виду	5	3
94	в одном	2	3
95	этого слова	2	3
96	об этом	2	3
97	в ее	5	3
98	том что	8	3
99	еще не	3	3
100	внутренней и	2	3
101	тех или	2	3
102	что и	2	3
103	не будет	2	3
104	отношения к	2	3
105	слова как	5	3
106	между ними	4	3
107	и для	2	3
108	высказывания и	2	3
109	не знает	3	3
110	и внешней	3	3
111	художественного высказывания	2	2
112	место в	4	2
113	в душе	8	2
114	в частности	13	2
115	в какой	2	2
116	или даже	3	2
117	как уже	2	2
118	в мире	21	2
119	в том	18	2
120	тот или	2	2
121	времени и	2	2
122	для него	4	2
123	в пределах	3	2
124	не с	2	2
125	в этих	3	2
126	отношение к	5	2
127	между внутренней	2	2
128	в отношении	3	2
129	все эти	2	2
130	и больше	2	2
131	либо в	2	2
132	высказывания в	4	2
133	высказывания не	2	2
134	по своей	7	2
135	человека с	3	2
136	мы имеем	6	2
137	к которому	4	2
138	я и	7	2
139	в жизни	2	2
140	в основе	4	2
141	ни к	2	2
142	однако в	4	2
143	между собой	2	2
144	или иных	2	2
145	что он	3	2
146	при условии	2	2
147	представляет собой	10	2
148	но не	11	2
149	по своему	2	2
150	а на	5	2
151	одной из	2	2
152	и потому	2	2
153	в своей	5	2
154	как в	2	2
155	здесь не	2	2
156	к нему	3	2
157	с ним	2	2
158	или в	2	2
159	между двумя	2	2
160	в каком	2	2
