N	2gram	Tiupa_Vved_1	slovoVRo
1	в романе	6	46
2	чужого слова	3	40
3	и в	13	39
4	может быть	18	37
5	и его	5	33
6	то есть	8	26
7	не только	20	24
8	и не	12	22
9	но и	19	21
10	не может	7	20
11	в нем	5	19
12	до конца	3	17
13	в этом	21	16
14	так и	8	15
15	а не	15	14
16	слова в	2	13
17	как в	4	13
18	отличие от	2	13
19	в пределах	2	13
20	во всех	2	12
21	в отличие	2	12
22	не в	6	9
23	и с	2	9
24	прежде всего	7	8
25	таким образом	4	8
26	при этом	26	7
27	для него	3	7
28	еще не	7	7
29	в его	4	7
30	как бы	4	7
31	никогда не	4	7
32	в этих	3	7
33	как мы	3	7
34	могут быть	4	7
35	с ним	3	7
36	в них	2	6
37	и к	2	6
38	все же	6	6
39	как и	11	6
40	в своем	5	6
41	но не	5	6
42	жизни и	7	6
43	в слове	3	6
44	так сказать	2	6
45	но в	6	6
46	с другой	5	5
47	это не	6	5
48	и для	3	5
49	и все	4	5
50	по себе	2	5
51	для нас	2	5
52	том что	7	5
53	или иной	3	5
54	одной стороны	5	5
55	только в	6	5
56	в том	10	5
57	например в	2	5
58	той или	3	5
59	один из	3	5
60	с одной	5	5
61	уже не	5	5
62	и наконец	2	5
63	героя и	3	5
64	мира и	2	5
65	не менее	4	4
66	на фоне	2	4
67	отношению к	7	4
68	же время	3	4
69	одна из	4	4
70	по отношению	7	4
71	то же	5	4
72	в той	4	4
73	а в	6	4
74	и на	3	4
75	дело с	2	4
76	в основе	3	4
77	в то	4	4
78	отношение к	2	4
79	здесь не	2	4
80	если она	2	3
81	перед нами	6	3
82	что в	3	3
83	национального языка	2	3
84	не столько	4	3
85	установкой на	2	3
86	и от	2	3
87	должна быть	2	3
88	язык как	2	3
89	в состав	4	3
90	не с	3	3
91	в свою	4	3
92	что и	2	3
93	точек зрения	2	3
94	с установкой	2	3
95	но это	3	3
96	в ней	4	3
97	как для	2	3
98	связано с	3	3
99	быть и	2	3
100	бы и	4	3
101	этом отношении	4	3
102	лишь в	2	3
103	а также	8	3
104	говорить о	2	3
105	развернута в	2	3
106	действующих лиц	2	2
107	а лишь	2	2
108	в данном	13	2
109	не было	2	2
110	и более	3	2
111	хотя и	7	2
112	однако в	4	2
113	в нашем	6	2
114	жизни в	4	2
115	и чужого	2	2
116	в смысловом	2	2
117	не всегда	2	2
118	в себе	5	2
119	и оно	2	2
120	более или	2	2
121	свою очередь	4	2
122	своего и	2	2
123	все что	3	2
124	как о	2	2
125	этих случаях	2	2
126	точка зрения	3	2
127	не все	2	2
128	мы видели	2	2
129	то что	6	2
130	подчеркнуть что	5	2
131	те же	2	2
132	все они	2	2
133	на него	2	2
134	или менее	2	2
135	так в	4	2
136	мы не	4	2
137	и т.п	9	2
138	одним из	5	2
139	также и	4	2
140	в результате	3	2
141	он не	3	2
142	далеко не	4	2
143	к его	3	2
144	в противовес	3	2
145	о том	5	2
146	как он	2	2
147	в области	3	2
