N	2gram	Bakhtin_Pr_2	Analitik
1	может быть	18	29
2	в том	8	27
3	не может	24	22
4	и не	42	21
5	и в	45	18
6	а не	10	17
7	но и	15	17
8	не только	16	15
9	не в	8	14
10	как и	14	13
11	в его	22	13
12	в этом	20	13
13	том что	7	12
14	при этом	2	12
15	в себе	5	11
16	то есть	50	11
17	но не	6	10
18	то же	5	9
19	а в	3	9
20	в то	5	9
21	в мире	3	8
22	не есть	2	8
23	в той	3	8
24	но в	6	8
25	этого слова	2	7
26	тем самым	2	7
27	это не	3	6
28	прежде всего	11	6
29	или иной	3	6
30	же время	3	6
31	в самом	13	6
32	в сущности	7	6
33	себя в	2	6
34	той или	3	6
35	далеко не	4	6
36	то что	5	6
37	в своей	6	6
38	по отношению	8	6
39	в основе	2	6
40	точки зрения	19	6
41	только в	9	6
42	мы имеем	2	6
43	я и	3	6
44	и как	2	5
45	что в	6	5
46	как бы	15	5
47	отношению к	8	5
48	в целом	5	5
49	в их	4	5
50	и т.п	6	5
51	лишь в	2	5
52	и его	8	5
53	и на	7	5
54	о том	3	5
55	в произведении	5	5
56	того что	3	4
57	и более	2	4
58	могут быть	4	4
59	себя и	2	4
60	по себе	8	4
61	в литературе	6	4
62	ни в	2	4
63	в области	2	4
64	все же	4	4
65	так и	3	4
66	именно в	3	4
67	уже не	6	4
68	из которых	2	4
69	с точки	9	4
70	с другими	7	4
71	с ним	8	4
72	том числе	2	3
73	с его	8	3
74	вступает в	4	3
75	человек в	3	3
76	в нашем	2	3
77	и одновременно	2	3
78	смысл его	2	3
79	хотя бы	5	3
80	личности в	3	3
81	в нем	20	3
82	и к	2	3
83	что он	7	3
84	еще не	9	3
85	что не	5	3
86	одним из	3	3
87	он не	9	3
88	опираются на	2	3
89	о нем	6	3
90	в котором	7	3
91	даже в	6	3
92	что и	5	3
93	ни с	2	3
94	а именно	3	3
95	таким образом	11	3
96	а с	3	3
97	принципиально не	2	3
98	по природе	3	3
99	к нему	11	3
100	в таком	3	3
101	ведет к	2	3
102	тому как	2	3
103	автора и	2	3
104	подобно тому	2	3
105	данного произведения	2	3
106	более того	5	3
107	как он	4	3
108	в художественном	3	3
109	бы быть	2	3
110	если бы	2	3
111	только для	2	2
112	никогда не	17	2
113	все эти	4	2
114	его и	3	2
115	для этого	3	2
116	не является	3	2
117	была бы	3	2
118	вовсе не	7	2
119	а как	4	2
120	можно сказать	2	2
121	в начале	2	2
122	и потому	6	2
123	х годов	2	2
124	должно быть	4	2
125	это как	2	2
126	и сам	3	2
127	отношение к	8	2
128	для него	9	2
129	в пределах	4	2
130	или не	2	2
131	было бы	4	2
132	на его	5	2
133	за пределы	5	2
134	и о	2	2
135	свое время	2	2
136	каждом из	2	2
137	не о	2	2
138	в свое	2	2
139	нет и	3	2
140	природе своей	2	2
141	один из	2	2
142	утрачивает свою	2	2
143	он может	2	2
144	из них	9	2
145	в процессе	2	2
146	и до	4	2
147	из возможных	2	2
148	со стороны	4	2
149	что же	4	2
150	по выражению	2	2
151	здесь не	2	2
152	как к	2	2
153	бы не	3	2
154	отношения к	2	2
155	этом отношении	2	2
156	для художественного	2	2
157	самом деле	4	2
158	и по	2	2
159	как мы	8	2
160	на основе	2	2
161	героя в	5	2
162	для себя	3	2
163	одного и	2	2
164	романа в	5	2
165	которые в	2	2
166	исторической поэтики	2	2
167	так как	5	2
168	потому что	8	2
169	в которой	2	2
170	в сознании	2	2
171	и с	7	2
