N	2gram	Savitsky_P_1	Freidism
1	и не	12	23
2	не может	4	20
3	точки зрения	3	19
4	прежде всего	3	18
5	и пр	5	15
6	в этом	10	15
7	в его	2	15
8	может быть	5	13
9	как бы	4	11
10	то что	4	11
11	с точки	3	11
12	и потому	4	10
13	но в	9	10
14	и в	14	9
15	во всех	2	9
16	не только	17	8
17	все это	2	8
18	то же	9	8
19	только в	7	8
20	тот же	3	7
21	того что	2	6
22	в ней	6	6
23	хотя бы	8	6
24	и с	2	6
25	и к	4	5
26	не в	5	5
27	в то	7	5
28	что в	4	5
29	но и	6	5
30	для того	3	5
31	а в	4	5
32	могут быть	3	5
33	с этим	2	5
34	мы должны	4	5
35	я и	3	5
36	не менее	2	4
37	но не	3	4
38	в котором	4	4
39	в пределах	8	4
40	в жизни	2	4
41	сводится к	3	4
42	же время	7	4
43	и о	5	4
44	как раз	2	4
45	в нем	3	4
46	не было	2	4
47	мы не	3	4
48	с ними	3	4
49	потому что	3	4
50	говорить о	2	4
51	главным образом	2	3
52	если бы	4	3
53	и есть	2	3
54	в них	2	3
55	в себе	3	3
56	и как	3	3
57	было бы	6	3
58	в общем	2	3
59	со стороны	2	3
60	и вот	2	3
61	одна из	2	3
62	в отношении	10	2
63	с другой	5	2
64	это не	3	2
65	для нас	2	2
66	в ее	2	2
67	да и	2	2
68	том что	4	2
69	а не	2	2
70	из важнейших	2	2
71	одной стороны	3	2
72	из них	2	2
73	что мы	3	2
74	в своем	4	2
75	во всей	2	2
76	отношения к	2	2
77	с одной	3	2
78	как на	2	2
79	в области	11	2
80	в эту	2	2
