N	2gram	Bakhtin_KF_1	VelikijI
1	и не	26	20
2	и в	24	16
3	то что	7	9
4	еще не	4	8
5	и потому	2	7
6	а не	17	7
7	не есть	20	6
8	в мире	6	5
9	как бы	9	5
10	но и	9	5
11	все это	10	5
12	что есть	2	5
13	того что	3	5
14	во мне	3	4
15	и есть	9	4
16	и я	5	4
17	что он	2	4
18	в нем	28	4
19	как и	5	4
20	в котором	24	4
21	так и	2	4
22	что не	3	4
23	потому что	2	4
24	в этом	14	4
25	в ней	3	4
26	говорить о	2	4
27	и все	7	4
28	в его	40	4
29	если не	2	3
30	должна быть	4	3
31	что в	4	3
32	в жизни	2	3
33	ни в	12	3
34	в том	6	3
35	не в	12	3
36	но это	6	3
37	что я	5	3
38	и мы	2	3
39	во всех	11	3
40	этого мира	3	3
41	никогда не	5	3
42	оно не	2	3
43	что и	7	3
44	жизни и	8	3
45	в своей	10	3
46	бы и	3	3
47	тому что	2	3
48	не было	8	3
49	лишь в	8	3
50	к чему	3	3
51	не имеет	5	3
52	хотя бы	4	3
53	и для	9	3
54	должно быть	6	3
55	от этого	2	3
56	все эти	10	3
57	в чем	4	3
58	но в	5	3
59	с тем	2	2
60	его и	2	2
61	это не	10	2
62	прежде всего	2	2
63	ее и	6	2
64	его к	2	2
65	для нас	4	2
66	том что	4	2
67	когда я	3	2
68	от него	3	2
69	но не	12	2
70	конечно не	7	2
71	для него	8	2
72	того чтобы	2	2
73	не только	5	2
74	своей истории	2	2
75	нет и	3	2
76	один из	2	2
77	не будет	2	2
78	во главе	2	2
79	и за	2	2
80	а с	2	2
81	тем что	3	2
82	в себя	7	2
83	ценности и	4	2
84	мы не	3	2
85	уже не	7	2
86	а в	4	2
87	с ним	5	2
88	от своей	5	2
89	и то	2	2
90	людей и	2	2
91	между тем	4	2
92	могут быть	3	2
93	только в	16	2
94	и это	12	2
95	мира в	6	2
