N	2gram	Nazirov_Tv_2	TeoriaLi
1	в мире	5	24
2	не только	13	18
3	тогда как	3	16
4	и не	9	16
5	а в	4	14
6	в частности	2	13
7	и в	20	13
8	может быть	8	12
9	так и	6	12
10	то есть	5	12
11	при этом	8	11
12	в этом	8	11
13	в том	8	11
14	но не	5	10
15	а не	6	10
16	и его	9	10
17	в его	10	9
18	то же	7	9
19	в душе	4	8
20	сводится к	2	8
21	что в	7	8
22	своего рода	3	8
23	отношению к	3	8
24	но и	8	8
25	по отношению	3	8
26	себя в	2	7
27	в себе	3	7
28	том что	4	7
29	в отличие	2	7
30	в то	10	7
31	только в	2	7
32	отличие от	2	7
33	место в	3	6
34	же время	7	6
35	еще не	5	6
36	в первой	2	6
37	как бы	11	6
38	в русской	2	6
39	но в	4	6
40	в ее	2	5
41	как и	6	5
42	не в	4	5
43	в самом	3	5
44	в нем	3	5
45	как в	4	5
46	а а	4	5
47	он не	3	5
48	уже не	3	5
49	тем самым	4	5
50	в принципе	4	5
51	с другой	2	5
52	не случайно	2	5
53	между тем	3	5
54	в искусстве	2	5
55	героя и	2	5
56	не менее	2	4
57	не столько	2	4
58	личности в	2	4
59	читателя в	5	4
60	в своей	6	4
61	то что	3	4
62	по преимуществу	2	4
63	в их	3	4
64	приводит к	2	4
65	не может	7	4
66	хотя и	4	4
67	и ее	2	4
68	говорить о	2	4
69	как правило	2	4
70	ни к	2	3
71	и др	3	3
72	никогда не	11	3
73	прежде всего	8	3
74	в соответствии	4	3
75	для него	3	3
76	и сам	5	3
77	например в	5	3
78	и потому	4	3
79	другой стороны	2	3
80	так в	2	3
81	таким образом	10	3
82	а с	3	3
83	именно в	6	3
84	и что	2	3
85	и по	2	3
86	потому что	7	3
87	в основе	2	3
88	в этой	5	3
89	его в	3	3
90	все эти	4	3
91	к которому	2	3
92	я не	2	2
93	если бы	4	2
94	могут быть	2	2
95	восходит к	2	2
96	в конце	6	2
97	жизни в	3	2
98	это не	7	2
99	вовсе не	2	2
100	в литературе	2	2
101	что он	6	2
102	об этом	4	2
103	соответствии с	4	2
104	что они	4	2
105	казалось бы	3	2
106	одной из	3	2
107	к жизни	2	2
108	в целом	6	2
109	вместе с	3	2
110	в романе	15	2
111	в году	16	2
112	в литературной	2	2
113	и даже	5	2
114	так же	5	2
115	роль в	2	2
116	в рассказе	3	2
117	их в	2	2
118	у него	6	2
119	о том	5	2
120	и это	3	2
121	в чем	4	2
122	в которой	2	2
123	имеет в	2	2
