N	2gram	Tiupa_Teor_1	Komedia
1	и в	18	22
2	том что	9	12
3	в том	16	11
4	но и	9	11
5	не только	16	10
6	в то	6	10
7	как и	4	9
8	может быть	17	9
9	в одном	2	8
10	таким образом	3	8
11	и не	13	8
12	и его	8	8
13	в этой	3	7
14	что в	9	6
15	в отношении	3	6
16	в конце	2	6
17	к тому	2	6
18	ни в	2	6
19	такого рода	8	6
20	и по	2	6
21	то же	7	6
22	не в	7	6
23	а в	13	6
24	в которой	2	6
25	с другой	7	5
26	прежде всего	2	5
27	при этом	12	5
28	в его	6	5
29	один из	2	5
30	так и	10	5
31	как в	5	5
32	все это	2	5
33	другой стороны	5	5
34	нового времени	3	5
35	и даже	2	5
36	потому что	3	5
37	между тем	5	5
38	именно в	3	4
39	в их	2	4
40	в другом	3	4
41	в качестве	24	4
42	же время	5	4
43	а также	6	4
44	и особенно	2	4
45	в нем	4	4
46	что и	2	4
47	так в	4	4
48	и вот	3	4
49	точки зрения	9	4
50	но в	9	4
51	место в	5	3
52	казалось бы	2	3
53	не менее	4	3
54	однако в	7	3
55	и одновременно	4	3
56	в них	2	3
57	у нас	2	3
58	и как	2	3
59	по своему	2	3
60	перед лицом	2	3
61	одной стороны	2	3
62	во второй	7	3
63	одной из	2	3
64	в частности	16	3
65	и о	4	3
66	хотя и	3	3
67	он не	3	3
68	даже в	3	3
69	отношению к	4	3
70	в целом	3	3
71	отношение к	5	3
72	так же	2	3
73	по отношению	4	3
74	с одной	2	3
75	как раз	2	3
76	в этом	8	3
77	могут быть	4	3
78	и ее	3	3
79	только в	6	3
80	как правило	4	3
81	его в	2	3
82	как это	8	3
83	к которому	3	3
84	времени и	2	2
85	в противоположность	2	2
86	и здесь	2	2
87	в рамках	7	2
88	за пределы	2	2
89	столь же	2	2
90	вовсе не	3	2
91	в свою	3	2
92	тем не	3	2
93	но не	9	2
94	того же	3	2
95	в себя	3	2
96	еще не	4	2
97	со своей	3	2
98	мог бы	3	2
99	в самом	4	2
100	в стихе	2	2
101	на две	3	2
102	и тем	3	2
103	с ее	3	2
104	то что	3	2
105	в первой	5	2
106	вместе с	2	2
107	ее в	2	2
108	со стороны	2	2
109	или менее	2	2
110	вслед за	2	2
111	который в	2	2
112	не может	4	2
113	принадлежит к	3	2
114	в форме	2	2
115	в принципе	4	2
116	и притом	2	2
117	или в	3	2
118	не следует	4	2
119	но он	3	2
120	на себя	2	2
121	в себе	9	2
122	в финале	3	2
123	по своей	3	2
124	как будто	2	2
125	отличие от	6	2
126	в области	4	2
