N	2gram	Berdyaev_V_1	Poddanst
1	не только	2	17
2	и в	16	14
3	и не	20	12
4	в этом	4	10
5	в том	3	9
6	но в	3	9
7	хотя бы	3	8
8	только в	2	7
9	но и	5	6
10	в ней	4	6
11	не в	3	5
12	в котором	4	4
13	то что	9	4
14	что в	3	4
15	а в	2	4
16	том что	2	4
17	как бы	5	4
18	и потому	7	4
19	в нем	4	3
20	и т	2	3
21	с тем	2	3
22	это не	2	3
23	прежде всего	2	3
24	мы не	2	3
25	между тем	2	3
26	но не	2	3
27	могут быть	2	3
28	что мы	4	3
29	тот же	3	3
30	вслед за	2	3
31	потому что	4	3
32	хотя и	5	3
33	в мире	5	2
34	не к	2	2
35	для них	2	2
36	и есть	4	2
37	во всех	3	2
38	в них	3	2
39	все это	5	2
40	в жизни	3	2
41	на этих	2	2
42	а не	7	2
43	того что	5	2
44	к чему	3	2
45	должно быть	3	2
46	для нас	2	2
47	говорить о	4	2
48	духа и	2	2
49	одна из	2	2
50	является в	2	2
51	не было	3	2
52	более чем	2	2
53	и мы	3	2
54	и это	2	2
55	да и	2	2
56	в его	4	2
