N	2gram	Bakhtin_Pr_3	FransuaR
1	и в	34	56
2	в его	22	18
3	таким образом	5	17
4	все эти	4	15
5	в этом	16	14
6	в том	3	13
7	так и	6	13
8	и его	16	12
9	в то	12	12
10	до конца	3	11
11	как бы	27	11
12	в них	2	11
13	то же	14	11
14	же время	12	10
15	еще не	4	10
16	мы уже	6	10
17	только в	6	9
18	в самом	8	9
19	но и	12	9
20	и не	29	9
21	том что	3	8
22	по своему	3	8
23	в сущности	11	8
24	не только	10	8
25	в нем	19	8
26	во всех	2	8
27	все это	16	8
28	и даже	7	8
29	и с	15	8
30	у него	4	7
31	в большинстве	2	7
32	уже говорили	3	7
33	как мы	7	7
34	и на	6	7
35	прежде всего	15	6
36	вовсе не	11	6
37	в ее	3	6
38	в той	2	6
39	той же	2	6
40	потому что	12	6
41	на его	4	6
42	точки зрения	8	6
43	и все	19	6
44	большинстве случаев	3	6
45	но в	16	6
46	но не	4	5
47	с его	6	5
48	никогда не	8	5
49	в отношении	9	5
50	в пределах	6	5
51	с ее	3	5
52	как и	18	5
53	он не	15	5
54	один из	2	5
55	мы видели	3	5
56	последнее слово	4	5
57	своего рода	2	5
58	что в	7	5
59	не было	2	5
60	в творчестве	3	5
61	говорили что	3	5
62	во время	2	5
63	такой же	3	5
64	так сказать	2	5
65	что все	4	4
66	что это	5	4
67	того времени	2	4
68	и ее	2	4
69	переходим к	4	4
70	в себе	6	4
71	например в	2	4
72	и к	12	4
73	конечно не	2	4
74	за пределы	2	4
75	наконец в	3	4
76	в ней	3	4
77	и потому	2	4
78	даже в	5	4
79	при этом	4	4
80	их в	3	4
81	во всем	3	4
82	о том	2	4
83	так как	4	4
84	в которой	2	4
85	со всею	2	3
86	всех этих	2	3
87	в своем	2	3
88	так что	5	3
89	более того	2	3
90	может быть	19	3
91	не мог	5	3
92	был бы	2	3
93	что и	5	3
94	то что	11	3
95	в форме	2	3
96	на них	5	3
97	там где	7	3
98	уже не	2	3
99	и наконец	5	3
100	не в	9	3
101	и почти	2	3
102	рядом с	4	3
103	сказать что	2	3
104	между тем	3	3
105	но он	3	3
106	характер и	3	3
107	в другом	8	3
108	его к	3	3
109	слова и	10	3
110	бы в	3	3
111	к которому	2	3
112	все его	2	3
113	если бы	4	2
114	в виде	4	2
115	о себе	18	2
116	друг другу	4	2
117	о них	2	2
118	по всему	2	2
119	с другой	4	2
120	это не	5	2
121	уже в	3	2
122	не как	3	2
123	и во	3	2
124	в одном	5	2
125	на самом	11	2
126	это в	2	2
127	что он	23	2
128	конечно в	2	2
129	бы и	4	2
130	точек зрения	2	2
131	ни было	4	2
132	ни в	4	2
133	которых он	2	2
134	говорит о	2	2
135	и как	3	2
136	но это	4	2
137	к концу	3	2
138	совсем не	3	2
139	для него	13	2
140	было бы	2	2
141	и сам	5	2
142	из них	5	2
143	себе и	5	2
144	а в	5	2
145	хотя и	3	2
146	все те	2	2
147	в котором	3	2
148	все же	7	2
149	в своей	3	2
150	в мире	4	2
151	благодаря этому	2	2
152	когда он	2	2
153	вот как	3	2
154	вместе с	4	2
155	самом деле	13	2
156	ни одного	5	2
157	только на	4	2
158	другой стороны	3	2
159	так же	8	2
160	как раз	4	2
161	не может	19	2
162	как к	4	2
163	то ни	4	2
164	а не	9	2
165	к нему	14	2
166	и для	8	2
167	с точки	4	2
168	его в	4	2
169	бы то	4	2
170	в слове	5	2
171	эпизод с	2	2
172	с такою	2	2
173	на одном	2	2
174	и то	3	2
175	с этой	2	2
176	в которых	2	2
177	связан с	2	2
178	но с	2	2
179	он дает	2	2
180	он и	5	2
181	той или	2	2
182	что они	6	2
183	далеко не	3	2
184	почти все	2	2
185	с тем	5	2
186	с ним	8	2
187	нет ни	2	2
