N	3gram	Vygotskiy__3	StatiiOP
1	и т д	4	21
2	в том что	11	17
3	о том что	3	11
4	для того чтобы	8	10
5	и т п	5	9
6	с точки зрения	9	8
7	до сих пор	5	7
8	в данном случае	2	6
9	на самом деле	2	6
10	с другой стороны	5	6
11	во всяком случае	2	6
12	в самом деле	18	5
13	на то что	12	4
14	и в самом	10	3
15	и в этом	3	3
16	только в том	2	3
17	заключается в том	6	3
18	в том смысле	2	2
19	в то время	2	2
20	что в этой	2	2
21	с одной стороны	5	2
22	вовсе не в	2	2
23	то что в	2	2
24	и то что	3	2
25	не в том	2	2
26	речь идет о	3	2
