N	2gram	Vinokur_St_1	SlovoVZh
1	не может	8	16
2	точки зрения	11	14
3	может быть	15	14
4	и его	8	13
5	как бы	4	13
6	таким образом	7	12
7	и в	44	12
8	отношению к	3	11
9	по отношению	3	11
10	и не	16	10
11	если бы	9	9
12	так как	5	9
13	прежде всего	7	8
14	для нас	7	7
15	сказать что	7	7
16	в нем	5	6
17	при этом	2	6
18	в том	36	6
19	только в	10	6
20	в ней	3	6
21	то что	18	5
22	должна быть	3	5
23	никогда не	5	5
24	а не	16	5
25	то же	5	5
26	хотя бы	6	5
27	как и	9	5
28	том что	29	5
29	как в	13	5
30	что мы	5	5
31	но в	10	5
32	все же	8	4
33	отношение к	2	4
34	жизни и	5	4
35	так и	9	4
36	с другой	9	4
37	на самом	6	4
38	что не	3	4
39	литературы и	2	4
40	не в	12	4
41	в этом	21	4
42	материала и	2	4
43	его в	2	4
44	дело в	6	4
45	в самом	7	4
46	к нему	2	4
47	за пределы	2	4
48	не только	18	4
49	в котором	5	3
50	и уже	2	3
51	и более	2	3
52	не менее	5	3
53	в своей	6	3
54	быть и	2	3
55	бы мы	2	3
56	сих пор	7	3
57	все это	5	3
58	как к	3	3
59	и по	5	3
60	и вообще	3	3
61	все эти	5	3
62	так называемой	2	3
63	ясно что	10	3
64	в такой	2	3
65	но и	10	3
66	того что	9	3
67	тем не	2	3
68	ни в	3	3
69	да и	3	3
70	он должен	2	3
71	так же	5	3
72	самом деле	11	3
73	мы не	2	3
74	ведь и	3	3
75	и с	3	3
76	о том	17	3
77	в каком	3	3
78	в себе	2	3
79	для него	6	3
80	до сих	7	3
81	еще не	3	3
82	и для	3	3
83	конечно не	2	3
84	но для	2	3
85	между тем	3	3
86	истории литературы	2	2
87	уже в	2	2
88	с этой	3	2
89	что и	6	2
90	но все	4	2
91	что в	30	2
92	данном случае	6	2
93	общего с	3	2
94	и так	3	2
95	в этих	2	2
96	на него	2	2
97	в своем	2	2
98	в отношении	9	2
99	точку зрения	3	2
100	в какой	3	2
101	допустим что	2	2
102	другой стороны	7	2
103	это не	8	2
104	дело с	2	2
105	мы имеем	2	2
106	и все	2	2
107	бы не	2	2
108	этих двух	3	2
109	с одной	3	2
110	была бы	5	2
111	и что	4	2
112	и вполне	3	2
113	с точки	8	2
114	и те	2	2
115	но это	6	2
116	такой же	5	2
117	в данном	14	2
118	и то	5	2
119	но не	3	2
120	могут быть	5	2
121	она не	2	2
122	в то	9	2
123	одной стороны	2	2
124	ни на	2	2
125	можно найти	2	2
126	подчеркнуть что	2	2
127	там где	5	2
128	в чем	3	2
129	как это	4	2
130	ничего не	2	2
131	совпадает с	2	2
132	он не	2	2
133	в его	9	2
134	и потому	2	2
