N	3gram	Tiupa_Narr_1	Literetu
1	то же время	3	7
2	в то же	3	7
3	присутствия в мире	2	6
4	в отличие от	5	5
5	в этом отношении	3	5
6	к тому же	4	5
7	в данном случае	4	4
8	о том что	6	4
9	с одной стороны	7	4
10	в том что	8	4
11	по отношению к	6	4
12	в том числе	6	3
13	тогда как в	2	3
14	с точки зрения	2	3
15	не может быть	5	3
16	то ни было	3	2
17	той или иной	4	2
18	том числе и	4	2
19	с другой стороны	4	2
20	состоит в том	3	2
21	бы то ни	3	2
22	и тем самым	3	2
23	так или иначе	2	2
24	подобно тому как	2	2
25	не только в	2	2
