N	2gram	Ircho_Kome_3	Morfolog
1	может быть	6	52
2	и т	4	49
3	таким образом	12	20
4	представляет собой	3	17
5	не может	3	17
6	т е	16	16
7	с этим	3	14
8	и в	22	13
9	в этом	8	13
10	так как	11	12
11	связи с	5	11
12	представляют собой	2	10
13	прежде всего	5	9
14	этом случае	2	9
15	так и	4	9
16	в связи	4	9
17	из дома	5	9
18	то же	7	9
19	и не	21	9
20	а не	4	9
21	с другой	4	8
22	а затем	2	8
23	по существу	2	8
24	что и	8	8
25	в результате	2	8
26	и этим	3	7
27	в качестве	2	7
28	но если	3	7
29	все же	4	7
30	это не	2	6
31	не могут	2	6
32	и здесь	4	6
33	в том	12	6
34	а также	2	6
35	а в	7	6
36	во время	6	6
37	не менее	5	5
38	если мы	2	5
39	в образе	2	5
40	наряду с	2	5
41	во всех	2	5
42	далеко не	3	5
43	как бы	3	5
44	один из	3	5
45	то что	4	5
46	потому что	10	5
47	мы не	2	5
48	что в	5	4
49	к началу	3	4
50	вовсе не	4	4
51	об этом	7	4
52	что его	5	4
53	тем не	3	4
54	отношению к	3	4
55	было бы	3	4
56	на его	2	4
57	несмотря на	4	4
58	не только	5	4
59	то это	5	4
60	как в	2	4
61	как мы	2	4
62	другой стороны	2	4
63	так же	4	4
64	по отношению	5	4
65	как и	3	4
66	хотя и	5	4
67	тем что	5	4
68	точки зрения	4	4
69	с точки	3	4
70	видно что	2	4
71	его в	8	4
72	ничего не	3	4
73	в других	3	4
74	только что	7	3
75	сам он	2	3
76	прежде чем	3	3
77	если бы	8	3
78	между собой	4	3
79	в начале	3	3
80	в какой	3	3
81	с просьбой	2	3
82	том что	13	3
83	но все	4	3
84	что они	2	3
85	в целом	3	3
86	в пределах	2	3
87	того чтобы	6	3
88	в сущности	2	3
89	он не	5	3
90	не является	4	3
91	ни в	10	3
92	но и	4	3
93	на него	4	3
94	от того	2	3
95	целый ряд	2	3
96	самом деле	6	3
97	из которых	2	3
98	к нему	5	3
99	и для	4	3
100	друг друга	4	3
101	а по	5	3
102	мы можем	3	3
103	из них	5	3
104	в руки	2	3
105	и ее	2	3
106	в то	6	3
107	если же	2	3
108	но в	5	3
109	что ни	3	2
110	с тем	4	2
111	в частности	3	2
112	однако в	4	2
113	хотя бы	4	2
114	сразу же	4	2
115	что эта	2	2
116	состоит в	2	2
117	к этому	6	2
118	что он	8	2
119	от отца	2	2
120	и к	3	2
121	не с	2	2
122	из его	2	2
123	вывод что	2	2
124	а на	2	2
125	то время	2	2
126	одной стороны	3	2
127	одной из	3	2
128	себя и	2	2
129	ни одной	2	2
130	с одной	3	2
131	за ней	2	2
132	и что	6	2
133	к себе	5	2
134	для того	6	2
135	тем же	3	2
136	в жены	5	2
137	не имеет	3	2
138	же между	2	2
139	после чего	2	2
140	и его	6	2
141	можно было	2	2
142	в другом	2	2
143	не знает	3	2
144	что мы	2	2
145	о том	8	2
146	в свое	2	2
147	ясно что	6	2
148	из дому	4	2
149	здесь не	2	2
150	как это	5	2
151	время как	2	2
