N	2gram	Bakhtin_Pr_1	FransuaR
1	и в	38	29
2	то есть	46	21
3	таким образом	10	20
4	и не	42	16
5	и все	3	13
6	как и	7	12
7	но в	4	12
8	так и	5	11
9	и на	3	11
10	в этом	15	11
11	то же	5	10
12	как мы	7	10
13	в романе	4	10
14	в то	4	10
15	не только	9	10
16	вовсе не	2	9
17	но и	9	9
18	все эти	5	9
19	и с	17	9
20	его в	9	9
21	же время	3	8
22	прежде всего	13	8
23	в его	43	8
24	и его	16	8
25	как бы	22	8
26	в них	5	7
27	в том	8	7
28	в большинстве	5	6
29	здесь в	2	6
30	что это	2	5
31	все они	5	5
32	это не	5	5
33	и о	5	5
34	далеко не	5	5
35	в нем	15	5
36	в своей	7	5
37	большинстве случаев	5	5
38	рядом с	5	5
39	сказать что	4	5
40	но они	4	4
41	с его	2	4
42	в нашем	4	4
43	что он	2	4
44	но это	3	4
45	еще не	7	4
46	и есть	2	4
47	и др	8	4
48	то что	8	4
49	конечно не	5	4
50	все это	3	4
51	на самом	4	4
52	с помощью	7	4
53	с другой	7	4
54	также и	3	4
55	тем что	2	4
56	точки зрения	8	4
57	в плане	7	4
58	в частности	2	3
59	в своем	5	3
60	отметить что	7	3
61	и здесь	2	3
62	в ее	4	3
63	все же	6	3
64	но как	2	3
65	том что	3	3
66	и как	8	3
67	в дальнейшем	3	3
68	мы можем	6	3
69	того что	2	3
70	он не	3	3
71	к нему	10	3
72	здесь не	4	3
73	но конечно	4	3
74	другой стороны	4	3
75	как к	2	3
76	в известной	3	3
77	при этом	5	3
78	и других	2	3
79	того чтобы	2	3
80	для того	2	3
81	и даже	3	3
82	особенно в	2	3
83	с ними	4	3
84	конечно и	4	3
85	в ней	4	3
86	в себе	4	3
87	там где	6	3
88	в чем	2	3
89	место в	8	2
90	бы не	2	2
91	связи с	2	2
92	и другие	2	2
93	к этому	2	2
94	в этих	2	2
95	поэтому в	2	2
96	форм и	2	2
97	формы и	5	2
98	другими словами	2	2
99	но здесь	3	2
100	а как	3	2
101	и к	3	2
102	на первый	2	2
103	одной из	3	2
104	ни в	11	2
105	да и	3	2
106	связаны с	2	2
107	мы увидим	3	2
108	на этом	2	2
109	но не	12	2
110	в себя	2	2
111	кроме того	3	2
112	одной стороны	3	2
113	не может	27	2
114	и сравнение	2	2
115	может быть	26	2
116	том же	2	2
117	хотя и	3	2
118	никогда не	5	2
119	в виду	4	2
120	в котором	2	2
121	связи и	3	2
122	дает нам	2	2
123	на них	3	2
124	и для	11	2
125	себя в	2	2
126	ни с	2	2
127	но она	2	2
128	как в	4	2
129	в их	10	2
130	не на	5	2
131	узком смысле	2	2
132	мир в	2	2
133	в особенности	2	2
134	в других	4	2
135	с одной	3	2
136	они не	3	2
137	мы здесь	4	2
138	от всех	4	2
139	и у	2	2
140	и эта	2	2
141	и наконец	6	2
142	с точки	6	2
143	между ними	4	2
144	в слове	3	2
145	или в	2	2
146	в своих	2	2
147	и при	2	2
148	в основе	5	2
149	только в	13	2
150	о том	4	2
151	и это	3	2
152	дело в	2	2
153	и этим	6	2
154	с ним	5	2
155	к которому	4	2
156	правильного понимания	2	2
