N	2gram	Vinokur_St_2	RusskieA
1	и в	29	36
2	не только	19	22
3	что в	19	19
4	том что	27	19
5	в том	27	17
6	т е	10	17
7	в и	13	17
8	но и	19	16
9	так как	2	15
10	во время	2	14
11	и другие	2	13
12	в этом	21	12
13	как и	2	10
14	и т	9	10
15	вместе с	7	10
16	и на	6	10
17	потому что	9	10
18	об этом	6	9
19	т д	6	9
20	с тем	7	8
21	у нас	3	8
22	из них	3	8
23	может быть	2	8
24	и по	3	8
25	о том	17	8
26	как это	2	8
27	что они	2	7
28	что и	2	7
29	так и	9	7
30	между тем	5	7
31	и не	9	6
32	так например	7	6
33	при этом	2	6
34	в них	2	6
35	таким образом	10	6
36	все это	11	6
37	не имеет	2	6
38	то что	11	6
39	все же	6	5
40	как бы	5	5
41	в течение	6	5
42	как в	3	5
43	того как	7	5
44	тому что	7	4
45	к этому	4	4
46	в тех	2	4
47	к тому	10	4
48	что на	3	4
49	в г	7	4
50	по существу	2	4
51	связи с	4	4
52	еще в	2	4
53	и др	2	4
54	в некоторых	2	4
55	в их	3	4
56	в россии	3	4
57	не может	2	4
58	а с	3	4
59	и что	6	4
60	того что	5	4
61	что этот	2	4
62	но это	3	4
63	тем что	3	4
64	г в	5	4
65	только в	2	4
66	не менее	3	3
67	о чем	5	3
68	что это	3	3
69	по этому	2	3
70	в этих	3	3
71	в качестве	5	3
72	в своем	9	3
73	но все	7	3
74	но они	2	3
75	в одном	6	3
76	и к	4	3
77	тем не	2	3
78	в москве	2	3
79	в это	2	3
80	несмотря на	2	3
81	а также	2	3
82	своего рода	5	3
83	то же	2	3
84	с точки	2	3
85	на этот	2	3
86	так же	3	3
87	и те	2	3
88	ко времени	2	3
89	ничего не	4	3
90	точки зрения	5	3
91	как например	2	3
92	в области	2	3
93	которые не	3	3
94	борьбы с	3	2
95	не было	3	2
96	что ему	3	2
97	и более	2	2
98	до того	4	2
99	в частности	4	2
100	что у	4	2
101	с этим	3	2
102	и потому	2	2
103	в образе	3	2
104	что именно	2	2
105	в нем	4	2
106	он был	2	2
107	нас не	2	2
108	судить по	2	2
109	такое же	2	2
110	так что	3	2
111	и как	2	2
112	но не	3	2
113	как известно	2	2
114	после того	4	2
115	до конца	3	2
116	далее в	2	2
117	например в	3	2
118	том же	2	2
119	в ней	7	2
120	должно было	3	2
121	в его	13	2
122	не знали	5	2
123	года в	3	2
124	и с	4	2
125	его как	2	2
126	в первые	2	2
127	не на	2	2
128	этому поводу	2	2
129	сомнений в	2	2
130	в особенности	2	2
131	тогда как	2	2
132	между прочим	12	2
133	относятся к	3	2
134	все эти	2	2
135	в какой	2	2
136	на самом	3	2
137	в году	3	2
138	а не	5	2
139	и пр	8	2
140	только по	2	2
141	этот вопрос	2	2
142	воспоминания о	2	2
143	хотя и	4	2
144	должна была	2	2
145	на себя	3	2
146	это время	2	2
147	и здесь	3	2
148	но в	8	2
149	в один	2	2
150	как он	2	2
151	там где	2	2
152	еще до	4	2
153	в числе	2	2
