N	2gram	Nazirov_Vr_1	Dialekti
1	т е	3	48
2	и не	5	27
3	точки зрения	2	25
4	и в	8	24
5	не только	9	23
6	не может	2	19
7	и что	8	15
8	то что	7	14
9	с точки	2	14
10	может быть	4	13
11	таким образом	2	13
12	и даже	6	13
13	что он	4	13
14	не менее	2	11
15	отнюдь не	2	10
16	но и	7	9
17	и как	3	8
18	том что	3	8
19	в этом	8	8
20	что в	7	7
21	никогда не	2	7
22	в виду	4	7
23	как и	6	7
24	как раз	2	7
25	я не	3	6
26	все это	4	6
27	и с	6	6
28	о том	4	6
29	и все	7	6
30	об этом	5	6
31	– это	6	6
32	то же	5	6
33	как же	2	5
34	в том	3	5
35	но это	2	5
36	и его	3	5
37	в то	5	5
38	в них	2	5
39	он не	3	5
40	уже не	2	5
41	это не	4	4
42	что есть	3	4
43	так же	4	4
44	на первый	2	4
45	в истории	4	4
46	о нем	6	4
47	в чем	3	4
48	и то	2	4
49	и это	2	4
50	для него	2	4
51	не было	5	3
52	все же	6	3
53	в своем	3	3
54	мы знаем	2	3
55	же время	5	3
56	тем более	2	3
57	в нем	6	3
58	из них	2	3
59	при помощи	2	3
60	тем что	3	3
61	на то	3	3
62	одна из	2	3
63	и о	3	3
64	как бы	4	3
65	и ее	2	3
66	же как	2	2
67	что у	3	2
68	о себе	3	2
69	для нас	4	2
70	еще не	2	2
71	при этом	4	2
72	несмотря на	4	2
73	и уже	3	2
74	целый ряд	4	2
75	а в	2	2
76	в своих	4	2
77	их в	2	2
78	в ней	4	2
79	но в	6	2
80	с его	3	2
81	у него	5	2
82	и во	3	2
83	же в	2	2
84	но как	2	2
85	личность и	2	2
86	так в	2	2
87	и у	3	2
88	и он	2	2
89	в себе	2	2
90	его на	2	2
91	в его	3	2
