N	2gram	Medvedev_U_1	Narrotol
1	не только	10	31
2	но и	4	27
3	и не	8	23
4	может быть	6	15
5	в частности	3	14
6	как и	3	13
7	а не	10	13
8	только в	2	12
9	в этом	7	12
10	и в	14	11
11	то что	7	9
12	то же	5	8
13	в том	2	8
14	не может	7	8
15	если бы	2	7
16	том что	2	7
17	но в	3	7
18	и т.д	3	6
19	не в	2	6
20	в самом	2	6
21	как раз	2	6
22	в себе	2	6
23	в его	2	6
24	в этой	4	6
25	в своей	3	5
26	с его	2	4
27	о чем	2	4
28	все же	3	4
29	для него	3	4
30	но не	2	4
31	же время	3	4
32	прежде всего	8	4
33	по себе	2	4
34	в то	3	4
35	это уже	2	3
36	это не	3	3
37	что он	2	3
38	сводится к	2	3
39	у нас	3	3
40	в противовес	2	3
41	самом деле	2	3
42	в конечном	4	3
43	этом отношении	2	3
44	мы не	2	3
45	и то	3	3
46	и с	2	3
47	между тем	2	3
48	а о	2	2
49	его и	2	2
50	в конце	2	2
51	до сих	2	2
52	а его	2	2
53	меньшей степени	2	2
54	и является	2	2
55	хотя бы	5	2
56	сих пор	2	2
57	другой стороны	3	2
58	и только	5	2
59	и через	2	2
60	если не	2	2
61	с другой	4	2
62	и для	2	2
63	ничего не	2	2
64	нас в	2	2
65	не о	3	2
66	что мы	2	2
67	же самое	2	2
68	ни от	2	2
69	в области	3	2
70	это было	2	2
