N	2gram	Losev_Vesc_1	Marksizm
1	точки зрения	5	34
2	может быть	16	26
3	и не	29	26
4	не может	17	24
5	с точки	3	20
6	и в	21	19
7	и его	2	19
8	таким образом	8	17
9	языка как	2	17
10	в этом	4	16
11	как бы	12	15
12	прежде всего	9	13
13	как мы	4	13
14	как и	8	12
15	и пр	6	12
16	так и	3	11
17	если мы	8	11
18	и для	9	11
19	в самом	9	10
20	в нем	2	10
21	в слове	2	10
22	ни было	4	10
23	– в	5	10
24	самом деле	4	10
25	для него	4	9
26	в результате	3	9
27	только в	14	9
28	бы то	4	8
29	но и	18	8
30	то ни	4	8
31	не только	36	8
32	все же	4	8
33	то что	27	8
34	все эти	3	7
35	но в	5	7
36	в ее	7	7
37	во всех	2	7
38	то же	6	7
39	а не	19	7
40	в смысле	12	6
41	в том	8	6
42	кроме того	4	6
43	– не	9	6
44	другой стороны	2	6
45	и здесь	4	6
46	отнюдь не	5	6
47	того же	5	6
48	в его	2	6
49	и того	2	6
50	мы не	6	6
51	ничего не	3	6
52	с другой	6	5
53	в конце	2	5
54	не в	5	5
55	общения и	2	5
56	и потому	5	5
57	и все	5	5
58	вовсе не	10	5
59	необходимо чтобы	3	5
60	по преимуществу	2	5
61	как ее	2	5
62	того чтобы	3	5
63	хотя бы	6	5
64	во всяком	3	5
65	ясно что	8	5
66	слово –	3	4
67	что в	9	4
68	не менее	3	4
69	и внешнего	2	4
70	в отношении	4	4
71	как же	3	4
72	в ней	12	4
73	это –	25	4
74	от того	3	4
75	к одному	3	4
76	а в	4	4
77	тот же	3	4
78	сказать что	17	4
79	чем же	3	4
80	с этим	3	4
81	по себе	13	4
82	– и	2	4
83	еще не	8	4
84	было бы	14	4
85	язык есть	2	4
86	не будет	12	4
87	что же	8	4
88	мысли и	3	4
89	только на	3	4
90	для того	2	4
91	и эта	3	4
92	между ними	3	4
93	оно может	2	4
94	в данном	5	4
95	выражение в	3	4
96	и есть	26	3
97	и от	3	3
98	по законам	2	3
99	можно сказать	6	3
100	и как	8	3
101	но именно	2	3
102	понимания и	3	3
103	момент в	6	3
104	в котором	3	3
105	из них	4	3
106	все это	5	3
107	конце концов	2	3
108	того что	8	3
109	с другими	8	3
110	и формы	2	3
111	в то	3	3
112	его в	2	3
113	слово в	2	3
114	первом случае	2	3
115	различие между	2	3
116	она может	4	3
117	том что	8	3
118	мы должны	2	3
119	действительности и	5	3
120	совершенно не	5	3
121	в сущности	4	3
122	мы говорили	2	3
123	внутреннего и	4	3
124	не есть	49	3
125	в первом	2	3
126	в своей	5	3
127	– то	2	3
128	это и	6	3
129	сводится к	2	3
130	должны быть	4	3
131	и следовательно	7	3
132	является в	2	3
133	и ее	18	3
134	слова и	5	3
135	и это	14	3
136	сама по	3	2
137	независимо от	5	2
138	должна быть	4	2
139	никогда не	2	2
140	тому что	2	2
141	в своем	6	2
142	к данной	2	2
143	что все	2	2
144	тем не	3	2
145	как она	4	2
146	свою очередь	4	2
147	в свою	4	2
148	в действительности	7	2
149	мог бы	5	2
150	понять и	2	2
151	но для	2	2
152	но если	8	2
153	в виду	2	2
154	всяком случае	2	2
155	быть понято	2	2
156	с ее	6	2
157	– а	2	2
158	зрения и	2	2
159	жизни и	2	2
160	в первой	2	2
161	и их	7	2
162	как к	4	2
163	и только	3	2
164	– как	7	2
165	не просто	19	2
166	это так	3	2
167	во втором	2	2
168	действительности в	2	2
169	же –	2	2
170	и даже	6	2
171	должно быть	6	2
172	можно было	2	2
173	в философии	5	2
174	с этой	4	2
175	о том	6	2
176	так как	7	2
177	бы в	5	2
178	свое выражение	3	2
179	и с	8	2
180	от этого	2	2
181	в основе	3	2
182	нет никакой	2	2
183	если бы	5	2
184	и во	3	2
185	в себе	14	2
186	у нас	7	2
187	то в	4	2
188	одна из	5	2
189	не сможет	2	2
190	она не	4	2
191	– с	2	2
192	другими словами	5	2
193	есть лишь	2	2
194	мы уже	3	2
195	к тому	3	2
196	как вещь	9	2
197	то как	2	2
198	и этот	2	2
199	однако не	2	2
200	переживания и	2	2
201	что и	3	2
202	бы и	5	2
203	и сама	3	2
204	как раз	9	2
205	себя от	2	2
206	действительности –	2	2
207	что не	5	2
208	что такое	12	2
209	той же	2	2
210	или в	2	2
211	или иначе	4	2
212	образ и	3	2
213	то мы	2	2
214	мы можем	4	2
215	тем что	2	2
216	в другом	2	2
217	ту же	2	2
218	могла бы	3	2
219	и вне	2	2
220	как оно	3	2
221	от нее	2	2
222	в чем	6	2
223	как с	4	2
