N	2gram	Vinokur_Vv_1	Tragedij
1	и в	27	18
2	в этом	34	9
3	не только	21	8
4	он сам	3	7
5	и не	13	7
6	и на	3	7
7	и с	2	7
8	может быть	24	7
9	как бы	5	7
10	что он	4	6
11	и его	5	6
12	же время	5	6
13	но в	10	6
14	все же	8	5
15	что это	3	5
16	это не	8	5
17	не может	13	5
18	то же	8	5
19	в дальнейшем	2	5
20	как и	5	5
21	в то	5	5
22	несмотря на	2	5
23	но и	5	4
24	то что	17	4
25	в целом	5	4
26	что в	11	4
27	все это	6	4
28	прежде всего	8	4
29	в нем	13	4
30	и даже	5	4
31	так же	3	4
32	том что	26	4
33	в этой	3	4
34	и что	4	4
35	в себе	4	4
36	еще не	4	4
37	об этом	5	4
38	уже в	5	3
39	один из	6	3
40	о чем	4	3
41	в своем	3	3
42	в конце	3	3
43	все эти	3	3
44	и как	9	3
45	к нему	2	3
46	должно быть	2	3
47	в его	10	3
48	что с	3	3
49	при этом	3	3
50	и сам	2	3
51	своего рода	3	3
52	как будто	3	3
53	мог бы	2	3
54	как это	5	3
55	не имеет	4	2
56	и до	2	2
57	не могут	5	2
58	что и	3	2
59	в частности	3	2
60	в отличие	3	2
61	данном случае	5	2
62	в известной	3	2
63	а как	3	2
64	вопрос о	8	2
65	не просто	4	2
66	уже не	5	2
67	бы и	2	2
68	отношение к	3	2
69	к тому	4	2
70	времени в	3	2
71	в ее	11	2
72	в том	31	2
73	до конца	3	2
74	говорит о	3	2
75	отличие от	3	2
76	но все	3	2
77	так что	5	2
78	не в	8	2
79	вряд ли	2	2
80	точно так	2	2
81	в данном	11	2
82	и то	5	2
83	одна из	2	2
84	потому что	14	2
85	в первом	5	2
86	с тем	6	2
87	тем что	6	2
88	в виде	4	2
89	только о	2	2
90	он и	2	2
91	и ее	4	2
92	о том	15	2
93	его в	6	2
94	и это	6	2
95	в самом	12	2
96	не мог	2	2
97	ничего не	2	2
98	в одном	4	2
99	что она	3	2
100	никогда не	3	2
