N	2gram	Medvedev_U_1	Formalny
1	и в	14	24
2	художественного произведения	2	23
3	в его	2	23
4	прежде всего	8	22
5	и не	8	20
6	формального метода	9	16
7	не может	7	16
8	в этом	7	15
9	может быть	6	14
10	таким образом	2	13
11	истории литературы	3	12
12	именно как	2	12
13	как и	3	11
14	в своей	3	11
15	в их	4	11
16	то же	5	10
17	а не	10	10
18	формальный метод	11	9
19	все это	5	9
20	в то	3	9
21	же время	3	8
22	то что	7	8
23	не в	2	8
24	и с	2	8
25	должна быть	2	7
26	не только	10	7
27	но и	4	7
28	было бы	3	6
29	как таковой	2	6
30	в том	2	6
31	в этой	4	6
32	самом деле	2	6
33	до сих	2	6
34	сих пор	2	6
35	художественное произведение	5	6
36	хотя бы	5	5
37	формы и	2	5
38	по себе	2	5
39	в искусстве	6	5
40	у нас	3	5
41	в самом	2	5
42	с другой	4	5
43	но в	3	5
44	с его	2	4
45	в частности	3	4
46	не как	3	4
47	художественных произведений	2	4
48	для этого	3	4
49	если бы	2	4
50	конечно не	4	4
51	при таком	2	4
52	но не	2	3
53	всех этих	2	3
54	перестает быть	5	3
55	материала и	2	3
56	то ни	3	3
57	бы то	3	3
58	что он	2	3
59	смысле этого	2	3
60	художественном произведении	2	3
61	для него	3	3
62	в широком	2	3
63	но это	2	3
64	теоретической поэтики	2	3
65	не о	3	3
66	все же	3	3
67	в россии	4	3
68	сводится к	2	3
69	мы не	2	3
70	в себе	2	3
71	произведения искусства	3	3
72	в художественном	5	3
73	в области	3	3
74	художественной формы	2	2
75	а как	2	2
76	искусства как	2	2
77	его и	2	2
78	это не	3	2
79	в системе	2	2
80	ни было	3	2
81	по существу	2	2
82	в противовес	2	2
83	литературы и	2	2
84	только в	2	2
85	фактов и	2	2
86	как раз	2	2
87	и является	2	2
88	что и	2	2
89	не есть	2	2
90	не приходится	2	2
91	как такового	3	2
92	между тем	2	2
93	даже и	2	2
94	ничего не	2	2
95	что такое	4	2
