N	2gram	Bakhtin_sl_2	StatiiOP
1	и в	39	44
2	в том	5	36
3	и т	35	30
4	что в	3	30
5	том что	5	29
6	т д	2	21
7	в этом	16	21
8	вовсе не	10	19
9	то что	2	18
10	не только	24	18
11	а в	4	17
12	о том	2	17
13	и не	22	16
14	а не	14	16
15	может быть	37	15
16	в данном	2	14
17	в области	2	14
18	как в	13	13
19	не в	9	12
20	того чтобы	2	11
21	точки зрения	8	11
22	для того	2	10
23	что он	2	10
24	но и	21	10
25	но в	6	10
26	только в	5	10
27	в отношении	4	9
28	с другой	5	9
29	в то	4	9
30	как и	6	9
31	т п	33	9
32	также и	2	9
33	так и	15	9
34	в его	7	9
35	например в	5	8
36	во всех	12	8
37	все же	6	8
38	не может	20	8
39	и его	33	8
40	это не	5	8
41	с точки	3	8
42	прежде всего	8	7
43	для нас	5	7
44	сих пор	2	7
45	до сих	2	7
46	таким образом	8	7
47	этом отношении	3	7
48	сказать что	3	7
49	но это	3	6
50	для него	7	6
51	что и	3	6
52	и языка	4	6
53	именно в	2	6
54	в той	4	6
55	во всяком	3	6
56	дело в	2	6
57	хотя бы	3	6
58	всяком случае	2	6
59	не менее	4	5
60	никогда не	7	5
61	в нем	19	5
62	жизни и	6	5
63	все это	16	5
64	той же	3	5
65	то же	4	5
66	и даже	7	5
67	в слове	6	5
68	могут быть	7	5
69	все эти	6	5
70	так как	4	5
71	там где	6	5
72	бы и	3	4
73	это и	2	4
74	же время	4	4
75	но все	5	4
76	же и	2	4
77	как бы	7	4
78	не было	2	4
79	в новом	2	4
80	еще более	2	4
81	языка и	9	4
82	как это	3	4
83	в основе	4	3
84	точку зрения	3	3
85	и с	9	3
86	должна быть	3	3
87	материал для	2	3
88	ни в	4	3
89	чем в	2	3
90	но не	6	3
91	еще не	7	3
92	п в	2	3
93	и для	5	3
94	в ней	3	3
95	даже в	2	3
96	не все	2	3
97	должен быть	2	3
98	отношению к	4	3
99	в истории	11	3
100	а именно	2	3
101	по отношению	4	3
102	в виде	2	3
103	с одной	5	3
104	что оно	4	3
105	лишь в	3	3
106	в таком	4	3
107	эпохи и	2	3
108	в чем	3	3
109	конечно и	2	3
110	как к	3	3
111	в результате	2	3
112	ведь и	2	3
113	в другом	2	3
114	связанные с	4	3
115	это очень	2	3
116	между тем	3	3
117	с этим	2	3
118	может не	2	2
119	истории литературы	3	2
120	уже в	2	2
121	всех этих	4	2
122	в этих	7	2
123	материала и	3	2
124	даже и	4	2
125	в своем	6	2
126	этой категории	4	2
127	как о	2	2
128	не всегда	2	2
129	этом случае	6	2
130	и более	2	2
131	при этом	7	2
132	например во	2	2
133	быть и	3	2
134	она не	6	2
135	одной стороны	5	2
136	со всеми	2	2
137	в сущности	6	2
138	за пределы	2	2
139	при его	2	2
140	и потому	7	2
141	а также	3	2
142	в свой	2	2
143	отношение к	4	2
144	которые в	2	2
145	подчеркнуть что	2	2
146	конечно не	5	2
147	отношения к	4	2
148	на него	2	2
149	без всякого	2	2
150	и их	5	2
151	и речи	2	2
152	самого же	2	2
153	для этого	4	2
154	не была	3	2
155	мы не	2	2
156	не знает	2	2
157	дело с	4	2
158	языка не	4	2
159	у него	3	2
160	он не	2	2
161	но он	2	2
162	в себе	2	2
163	говорить о	3	2
164	далее в	2	2
165	и все	5	2
166	его в	4	2
167	к нему	3	2
168	только с	2	2
169	отметить что	3	2
170	то есть	26	2
