N	2gram	Berdyaev_M_1	Komedia
1	и в	28	22
2	т е	2	13
3	том что	3	12
4	в том	6	11
5	но и	25	11
6	не только	29	10
7	в то	2	10
8	как и	5	9
9	может быть	30	9
10	и не	11	8
11	и его	9	8
12	о том	2	8
13	в этой	6	7
14	что в	10	6
15	в конце	7	6
16	что он	10	6
17	к тому	3	6
18	и по	4	6
19	не в	16	6
20	а в	4	6
21	в которой	6	6
22	уже в	4	5
23	прежде всего	10	5
24	в его	9	5
25	еще в	2	5
26	один из	4	5
27	в истории	2	5
28	как в	2	5
29	все это	6	5
30	то время	2	5
31	потому что	16	5
32	в их	4	4
33	к этому	2	4
34	на протяжении	2	4
35	в котором	8	4
36	в нем	13	4
37	что и	4	4
38	тем что	4	4
39	и вот	3	4
40	время как	2	4
41	точки зрения	4	4
42	конце концов	2	4
43	так как	3	4
44	но в	7	4
45	место в	2	3
46	в них	4	3
47	вопрос о	2	3
48	у нас	5	3
49	и как	2	3
50	по своему	2	3
51	в начале	2	3
52	и у	2	3
53	у него	17	3
54	он не	24	3
55	все же	2	3
56	отношению к	2	3
57	отношение к	4	3
58	к этим	2	3
59	всего в	2	3
60	по отношению	2	3
61	не мог	3	3
62	его творчества	2	3
63	и на	6	3
64	в более	2	3
65	в этом	20	3
66	и с	3	3
67	могут быть	2	3
68	и еще	3	3
69	только в	6	3
70	и все	10	3
71	его в	3	3
72	ничего не	3	3
73	для них	3	2
74	за пределы	4	2
75	и во	2	2
76	и мир	2	2
77	в свою	2	2
78	он был	14	2
79	его творчество	2	2
80	на этом	3	2
81	но не	8	2
82	до конца	14	2
83	до сих	2	2
84	было бы	10	2
85	мог бы	4	2
86	в самом	11	2
87	которую он	2	2
88	относится к	2	2
89	только один	2	2
90	то что	5	2
91	не к	4	2
92	вместе с	6	2
93	все что	2	2
94	не может	28	2
95	к нему	7	2
96	к ней	4	2
97	но он	9	2
98	в себе	7	2
99	по своей	2	2
100	как будто	2	2
101	будто бы	3	2
102	сих пор	2	2
