N	2gram	Propp_Morf_1	SlovoVZh
1	не может	14	16
2	точки зрения	2	14
3	может быть	52	14
4	как бы	3	13
5	таким образом	21	12
6	и в	13	12
7	в нашем	3	11
8	отношению к	4	11
9	по отношению	4	11
10	и не	12	10
11	если бы	2	9
12	так как	16	9
13	прежде всего	9	8
14	для нас	2	7
15	сказать что	2	7
16	в том	6	6
17	только в	2	6
18	и др	10	5
19	то что	8	5
20	а не	11	5
21	можно сказать	2	5
22	то же	7	5
23	хотя бы	4	5
24	как и	3	5
25	том что	4	5
26	как в	3	5
27	что мы	2	5
28	но в	2	5
29	и к	4	4
30	ни было	2	4
31	все же	7	4
32	так и	6	4
33	от того	3	4
34	с другой	8	4
35	на самом	4	4
36	уже не	2	4
37	не в	3	4
38	в этом	14	4
39	его в	2	4
40	к нему	3	4
41	не только	4	4
42	бы то	3	3
43	не менее	5	3
44	в некоторых	3	3
45	быть и	2	3
46	то ни	3	3
47	и по	2	3
48	все эти	2	3
49	ясно что	5	3
50	но и	4	3
51	и пр	37	3
52	того что	3	3
53	или не	3	3
54	тем не	5	3
55	он должен	2	3
56	так же	3	3
57	самом деле	4	3
58	мы не	8	3
59	о том	2	3
60	в каком	2	3
61	и ее	3	3
62	в пределах	3	3
63	еще не	3	3
64	и для	2	3
65	здесь не	2	3
66	но для	2	3
67	между тем	5	3
68	к герою	3	3
69	но мы	3	2
70	с его	2	2
71	что и	7	2
72	в настоящее	3	2
73	независимо от	3	2
74	но все	3	2
75	что в	8	2
76	себя и	2	2
77	в этих	13	2
78	на него	3	2
79	между собой	4	2
80	в форме	6	2
81	в какой	3	2
82	другой стороны	4	2
83	это не	6	2
84	мы имеем	9	2
85	и другие	6	2
86	к этому	3	2
87	и что	2	2
88	с точки	2	2
89	и здесь	5	2
90	как же	2	2
91	форма в	3	2
92	но это	6	2
93	мы можем	2	2
94	но не	4	2
95	могут быть	16	2
96	имеем в	6	2
97	она не	2	2
98	в то	3	2
99	настоящее время	3	2
100	если же	5	2
101	как уже	2	2
102	там где	5	2
103	оно не	2	2
104	как это	3	2
105	ничего не	4	2
106	он не	3	2
