N	3gram	Vinokur_Vv_1	Problemy
1	с точки зрения	2	13
2	в этом смысле	10	10
3	в то же	5	9
4	то же время	5	9
5	по отношению к	4	8
6	в том что	12	6
7	и в этом	3	5
8	в конце концов	2	5
9	но в то	3	5
10	не может быть	8	4
11	и т п	5	3
12	само по себе	3	3
13	с другой стороны	5	3
14	в этом отношении	3	3
15	во всяком случае	3	3
16	в данном случае	4	2
17	т е не	2	2
18	в самом деле	5	2
19	не только в	4	2
20	до сих пор	5	2
21	в целом ряде	2	2
22	хотя бы и	2	2
23	можно было бы	3	2
24	что может быть	3	2
25	т е в	4	2
26	но все же	3	2
