N	2gram	Ircho_Kome_1	EvropaiE
1	и в	22	37
2	в отношении	6	32
3	точки зрения	4	23
4	что в	6	21
5	не только	10	18
6	в то	10	16
7	то же	6	15
8	в качестве	4	14
9	же время	4	14
10	но и	11	14
11	и не	8	14
12	но в	4	14
13	в этом	3	12
14	в их	4	11
15	в том	11	11
16	в области	2	11
17	так и	5	10
18	прежде всего	5	9
19	все более	3	9
20	не может	2	9
21	т е	13	9
22	в себе	2	9
23	только в	3	9
24	так же	3	9
25	к тому	6	8
26	одной стороны	3	8
27	было бы	2	8
28	с одной	3	8
29	между тем	5	8
30	как и	9	7
31	по своему	3	7
32	между прочим	2	7
33	а также	4	7
34	с другой	5	7
35	так как	4	7
36	вовсе не	2	6
37	том что	12	6
38	может быть	9	6
39	вслед за	2	6
40	на то	3	6
41	то что	2	6
42	и даже	5	6
43	и на	3	6
44	же как	3	5
45	в частности	3	5
46	столь же	2	5
47	не в	6	5
48	но не	2	5
49	одной из	3	5
50	со стороны	2	5
51	как мы	4	5
52	в течение	3	5
53	и по	6	5
54	в виде	3	5
55	ни было	2	4
56	независимо от	2	4
57	то ни	2	4
58	именно в	4	4
59	вопрос о	3	4
60	бы то	2	4
61	несмотря на	4	4
62	в самом	2	4
63	из числа	3	4
64	к ней	2	4
65	даже в	3	4
66	мы не	3	4
67	и притом	2	4
68	как это	3	4
69	место в	3	3
70	этом отношении	3	3
71	в них	3	3
72	на себя	2	3
73	от них	2	3
74	мы видели	2	3
75	из всех	2	3
76	ли это	2	3
77	мы можем	4	3
78	в свою	2	3
79	того же	2	3
80	в известном	2	3
81	из них	10	3
82	всяком случае	2	3
83	и тем	2	3
84	что и	4	3
85	во второй	3	3
86	ее в	2	3
87	как в	5	3
88	идет о	3	3
89	в результате	4	3
90	потому что	5	3
91	во всяком	2	3
92	тем что	4	3
93	в аттику	2	3
94	о том	8	3
95	за тем	2	2
96	для них	2	2
97	и во	2	2
98	и все	3	2
99	в одном	8	2
100	к нему	2	2
101	и теперь	2	2
102	именно потому	2	2
103	главным образом	3	2
104	одном из	4	2
105	и можно	2	2
106	же в	4	2
107	и как	3	2
108	в силу	2	2
109	такой же	2	2
110	или по	2	2
111	участие в	4	2
112	не говоря	2	2
113	не к	2	2
114	он не	3	2
115	в его	5	2
116	мог бы	2	2
117	в котором	4	2
118	говоря уже	2	2
119	в свои	3	2
120	наряду с	2	2
121	вместе с	2	2
122	всего в	3	2
123	на основании	3	2
124	что к	2	2
125	второй половине	2	2
126	и таким	2	2
127	а в	6	2
128	таким образом	8	2
129	и других	7	2
130	другой стороны	5	2
131	в других	2	2
132	войны и	5	2
133	или в	2	2
134	в своих	2	2
135	и с	3	2
136	хотя и	3	2
137	могут быть	3	2
138	и еще	3	2
139	в этой	7	2
140	по своей	2	2
141	в истории	5	2
142	как будто	2	2
143	также в	2	2
