N	2gram	Propp_Isto_5	Psycholo
1	то что	7	37
2	и в	25	30
3	в том	6	27
4	что в	8	24
5	и что	8	23
6	потому что	7	23
7	том что	8	21
8	для того	3	20
9	таким образом	9	20
10	того чтобы	3	20
11	как бы	2	19
12	что он	22	17
13	на то	2	17
14	и мы	2	16
15	не только	13	16
16	в этом	10	14
17	так же	5	13
18	одной стороны	7	12
19	вместе с	22	12
20	с одной	7	12
21	если бы	2	11
22	может быть	17	11
23	что мы	2	11
24	о том	7	10
25	никогда не	3	9
26	с другой	9	9
27	мы увидим	5	9
28	не может	6	9
29	сказать что	2	9
30	так как	11	9
31	с тем	8	8
32	что это	5	8
33	мы имеем	14	8
34	не в	6	8
35	а не	2	8
36	того что	2	8
37	самом деле	2	8
38	мы видим	8	8
39	могут быть	6	8
40	и это	4	8
41	по себе	2	7
42	в нем	7	7
43	и как	3	7
44	но не	5	7
45	мы можем	2	7
46	все же	10	7
47	и т	20	7
48	то же	4	7
49	совершенно ясно	4	7
50	точки зрения	2	7
51	героя и	3	7
52	уже в	2	6
53	ясно что	5	6
54	как и	7	6
55	совершенно не	2	6
56	и тем	4	6
57	и для	2	6
58	но и	13	6
59	что все	4	6
60	и не	11	6
61	жизни и	2	6
62	и его	9	6
63	или в	6	6
64	и здесь	7	6
65	тем что	10	6
66	мы уже	4	6
67	на этом	3	6
68	в целом	3	5
69	несмотря на	2	5
70	как мы	5	5
71	и потому	2	5
72	в этой	3	5
73	еще не	8	5
74	до сих	2	5
75	когда он	2	5
76	один из	2	5
77	сих пор	2	5
78	другой стороны	8	5
79	именно на	2	5
80	только в	7	5
81	в частности	7	4
82	и все	3	4
83	прежде всего	6	4
84	то это	3	4
85	говорит о	2	4
86	в своей	2	4
87	в ней	5	4
88	в его	12	4
89	в него	5	4
90	а в	3	4
91	там где	6	4
92	из которых	2	4
93	на одном	2	4
94	о чем	2	4
95	под влиянием	2	3
96	что герой	3	3
97	у него	2	3
98	бы мы	2	3
99	что у	4	3
100	это не	6	3
101	формы и	2	3
102	не как	4	3
103	к этому	2	3
104	вовсе не	2	3
105	вопрос о	2	3
106	показывает что	5	3
107	видим что	5	3
108	для нас	5	3
109	об этом	2	3
110	так что	2	3
111	одна из	2	3
112	что здесь	3	3
113	в свою	3	3
114	друг с	2	3
115	он не	4	3
116	из двух	2	3
117	в ее	4	3
118	что и	6	3
119	данном случае	2	3
120	со стороны	2	3
121	что при	3	3
122	как в	6	3
123	так например	2	3
124	так в	2	3
125	т д	18	3
126	героя в	9	3
127	с другом	2	3
128	с которым	2	3
129	мы не	5	3
130	человека в	3	3
131	но он	2	3
132	и на	8	3
133	в данном	3	3
134	мы должны	4	3
135	в этих	6	3
136	в которой	4	3
137	образом мы	2	3
138	что от	2	2
139	с этой	2	2
140	перед нами	2	2
141	же как	4	2
142	связи с	8	2
143	знаем что	6	2
144	к которым	2	2
145	с этим	5	2
146	а как	2	2
147	можно сказать	2	2
148	мы знаем	8	2
149	дает ему	3	2
150	же в	2	2
151	этом случае	7	2
152	а затем	7	2
153	по существу	2	2
154	но все	5	2
155	и при	2	2
156	очевидно что	2	2
157	того же	2	2
158	это значит	2	2
159	над ним	3	2
160	или на	2	2
161	том чтобы	2	2
162	на том	3	2
163	в качестве	7	2
164	о которых	2	2
165	еще в	2	2
166	должен быть	2	2
167	говорится что	3	2
168	но мы	3	2
169	еще один	2	2
170	из них	2	2
171	представляют собой	3	2
172	во всех	2	2
173	в нее	6	2
174	в форме	3	2
175	находится в	2	2
176	все это	4	2
177	по отношению	2	2
178	и таким	2	2
179	того как	4	2
180	в течение	2	2
181	в себя	3	2
182	и хотя	4	2
183	и герой	2	2
184	и он	6	2
185	он видит	4	2
186	то здесь	2	2
187	ничего не	2	2
188	в которых	3	2
189	и с	3	2
190	это же	3	2
191	во всем	2	2
192	в то	3	2
193	входящий в	2	2
194	ту же	2	2
195	его на	4	2
196	перейдем к	2	2
197	все эти	8	2
