N	2gram	Potebnia_M_2	formyVre
1	и в	24	50
2	то есть	30	33
3	в этом	8	25
4	в нем	9	24
5	человека в	3	17
6	и его	2	16
7	прежде всего	7	15
8	и не	19	14
9	вовсе не	9	13
10	в его	2	13
11	так и	5	12
12	человека и	3	11
13	может быть	23	11
14	таким образом	11	11
15	то же	12	11
16	и как	6	10
17	но в	4	10
18	в том	18	9
19	же время	2	9
20	все эти	2	9
21	в других	4	9
22	в то	6	9
23	не только	15	9
24	с его	2	9
25	в самом	4	8
26	и т	6	8
27	и их	5	8
28	но и	9	8
29	и на	8	8
30	как и	7	8
31	того же	14	8
32	т п	3	8
33	не было	6	7
34	и во	3	7
35	так сказать	4	7
36	все же	5	6
37	это не	3	6
38	например в	3	6
39	не может	12	6
40	так же	2	6
41	так как	10	6
42	у него	2	6
43	с этим	7	6
44	и все	3	6
45	в жизни	2	6
46	и того	6	6
47	связи с	6	6
48	во всех	7	6
49	то что	20	6
50	как в	10	6
51	между двумя	6	6
52	что в	16	5
53	одного и	6	5
54	не в	13	5
55	в связи	2	5
56	время как	4	5
57	всех этих	2	5
58	но все	2	5
59	если бы	11	5
60	в пространстве	2	5
61	но не	12	5
62	еще не	4	5
63	того чтобы	2	5
64	для того	5	5
65	и у	3	5
66	могут быть	8	5
67	но на	2	4
68	время и	2	4
69	и следовательно	2	4
70	в котором	4	4
71	все это	2	4
72	влияние на	4	4
73	не имеет	6	4
74	потому что	49	4
75	в ней	3	4
76	в них	5	4
77	то время	4	4
78	и проч	10	4
79	том что	8	4
80	и для	3	4
81	и то	3	4
82	только в	11	4
83	и это	2	4
84	не могут	7	3
85	себя и	2	3
86	в этих	3	3
87	с тем	4	3
88	при этом	13	3
89	в движение	2	3
90	не имеют	2	3
91	имеет место	2	3
92	хотя и	3	3
93	и уже	5	3
94	один из	2	3
95	по отношению	2	3
96	отношения к	2	3
97	с одной	4	3
98	и других	2	3
99	в одно	8	3
100	они не	4	3
101	друг друга	2	3
102	а в	8	3
103	их в	2	3
104	сказать что	2	3
105	одно из	3	3
106	его в	3	3
107	в одном	6	3
108	и образ	2	3
109	к этому	2	3
110	значение и	2	3
111	есть не	5	3
112	же в	5	3
113	одно и	2	3
114	и потому	2	3
115	что и	11	3
116	вместе с	11	3
117	сих пор	4	3
118	во времени	2	3
119	а не	18	3
120	что не	5	3
121	между ними	2	3
122	мы не	11	3
123	мы видим	2	3
124	в таком	4	3
125	или в	2	3
126	с другими	5	3
127	нас в	2	3
128	во всяком	7	3
129	быть только	2	3
130	в себе	10	3
131	до сих	4	3
132	место в	4	2
133	уже в	5	2
134	совсем не	2	2
135	самого начала	2	2
136	никогда не	4	2
137	в нашем	2	2
138	с другой	6	2
139	поэтому оно	2	2
140	что все	2	2
141	вопрос о	2	2
142	а только	8	2
143	для нас	31	2
144	с самого	2	2
145	есть в	2	2
146	в свою	6	2
147	для него	10	2
148	слагаются в	2	2
149	одной стороны	3	2
150	есть только	6	2
151	в целом	3	2
152	в некоторых	4	2
153	ни с	2	2
154	те же	3	2
155	мы находим	2	2
156	в самой	3	2
157	того что	7	2
158	и по	2	2
159	рядом с	3	2
160	или не	5	2
161	но он	2	2
162	во всем	2	2
163	что мы	11	2
164	мы должны	2	2
165	как он	4	2
166	с ним	5	2
167	влияния на	2	2
168	к другому	4	2
169	не как	3	2
170	же что	3	2
171	тогда когда	10	2
172	они с	3	2
173	по себе	15	2
174	в чем	7	2
175	одна из	4	2
176	во все	2	2
177	на другой	2	2
178	и может	3	2
179	было бы	13	2
180	к ней	2	2
181	оно не	3	2
182	но она	3	2
183	как бы	9	2
184	связь между	2	2
185	не зная	2	2
186	если мы	3	2
187	уже не	4	2
188	хотя бы	2	2
189	в которой	5	2
190	той же	3	2
191	нет но	3	2
192	тем что	7	2
193	можно назвать	2	2
194	в каком	3	2
195	и вообще	3	2
196	его на	2	2
197	далеко не	3	2
198	как оно	2	2
199	слова и	3	2
200	там где	4	2
