N	2gram	Propp_Russ_2	PoTuStor
1	может быть	13	17
2	и в	29	16
3	и пр	2	12
4	прежде всего	2	9
5	таким образом	6	9
6	в этом	11	9
7	совершенно не	2	8
8	и с	10	8
9	не может	5	8
10	не только	10	7
11	при этом	6	6
12	все эти	3	5
13	еще не	6	5
14	как бы	18	5
15	в него	2	5
16	но и	8	4
17	все это	10	4
18	и все	4	4
19	так как	13	4
20	на самом	2	4
21	как мы	3	4
22	и ее	2	4
23	и на	6	4
24	в этой	3	4
25	его в	8	4
26	но в	5	4
27	во время	12	3
28	на две	2	3
29	в этих	3	3
30	что в	22	3
31	во всех	3	3
32	могут быть	2	3
33	вместе с	6	3
34	в том	22	3
35	а в	9	3
36	том что	22	3
37	и как	2	3
38	с другими	3	3
39	то что	5	3
40	их в	4	3
41	на этом	3	3
42	только как	2	3
43	как это	4	3
44	не менее	2	2
45	ее в	8	2
46	один из	2	2
47	что и	2	2
48	же как	4	2
49	никогда не	2	2
50	между собой	2	2
51	для этого	5	2
52	в них	4	2
53	с этой	2	2
54	из этих	2	2
55	с этим	2	2
56	то же	4	2
57	и через	3	2
58	к этому	5	2
59	на них	4	2
60	и других	3	2
61	нет никаких	2	2
62	мы не	6	2
63	что на	2	2
64	на первый	3	2
65	и по	3	2
66	и для	2	2
67	для нас	6	2
68	в этот	10	2
69	как и	11	2
70	так же	4	2
71	есть в	2	2
72	совсем не	2	2
73	а на	9	2
74	не можем	2	2
75	было бы	3	2
76	что это	3	2
77	все то	2	2
78	связанные с	2	2
79	о том	9	2
80	в своей	2	2
81	и о	3	2
