N	2gram	Propp_Russ_2	Stilisti
1	и в	29	42
2	как бы	18	27
3	не только	10	27
4	прежде всего	2	22
5	но и	8	15
6	то же	4	15
7	может быть	13	12
8	не может	5	12
9	как и	11	11
10	и как	2	10
11	как мы	3	10
12	в этом	11	10
13	при этом	6	9
14	в то	2	9
15	то что	5	9
16	для того	6	9
17	мы не	6	9
18	все же	2	8
19	таким образом	6	8
20	с тем	6	8
21	никогда не	2	7
22	и от	3	7
23	и на	6	7
24	потому что	5	7
25	так как	13	7
26	было бы	3	7
27	а не	4	7
28	того чтобы	6	7
29	в которой	2	7
30	не в	4	6
31	в этой	3	6
32	в форме	2	6
33	когда мы	2	6
34	во всех	3	6
35	мы видели	7	5
36	а в	9	5
37	и с	10	5
38	как это	4	5
39	вместе с	6	5
40	что это	3	4
41	влияние на	2	4
42	связаны с	3	4
43	в качестве	3	4
44	один из	2	4
45	все это	10	4
46	того что	3	4
47	так же	4	4
48	о том	9	4
49	его в	8	4
50	но в	5	4
51	не что	2	4
52	у нас	4	4
53	а с	2	4
54	уже не	4	4
55	и пр	2	4
56	можно было	2	4
57	и то	2	4
58	это не	5	3
59	главным образом	3	3
60	этом случае	6	3
61	для нас	6	3
62	здесь мы	2	3
63	в котором	3	3
64	не к	2	3
65	из них	4	3
66	их в	4	3
67	та же	2	3
68	в виду	2	3
69	видели что	4	3
70	и все	4	3
71	если он	2	3
72	об этом	2	3
73	в ее	3	3
74	том что	22	3
75	еще не	6	3
76	должно было	3	3
77	что и	2	3
78	вряд ли	2	3
79	связь между	2	3
80	на самом	2	3
81	и для	2	3
82	связи с	2	3
83	или даже	3	2
84	иное как	2	2
85	не всегда	3	2
86	вопрос о	4	2
87	как уже	2	2
88	в том	22	2
89	нас не	2	2
90	очевидно что	2	2
91	до конца	3	2
92	с развитием	2	2
93	в него	2	2
94	не с	2	2
95	в этих	3	2
96	о них	2	2
97	как например	3	2
98	не было	2	2
99	все эти	3	2
100	должно быть	2	2
101	в которых	4	2
102	каждый из	2	2
103	в своих	2	2
104	о происхождении	2	2
105	что иное	2	2
106	которые с	2	2
107	все то	2	2
108	мы имеем	6	2
109	для них	2	2
110	между собой	2	2
111	с этим	2	2
112	к этому	5	2
113	связанные с	2	2
114	на первый	3	2
115	только тогда	3	2
116	а к	2	2
117	и при	2	2
118	должна была	5	2
119	представляет собой	2	2
120	но не	5	2
121	а на	9	2
122	связано с	2	2
123	в своей	2	2
124	природы и	2	2
125	с ней	5	2
126	связь с	3	2
127	как в	7	2
128	должны были	2	2
129	из которых	2	2
130	к нему	4	2
131	у них	2	2
132	или в	7	2
133	этот вопрос	2	2
134	тем что	3	2
135	тем и	2	2
136	в приведенных	2	2
137	заметить что	2	2
