N	2gram	Savitsky_P_1	Myslijsy
1	потому что	3	33
2	то что	4	29
3	может быть	5	26
4	в том	9	23
5	и в	14	23
6	в этом	10	23
7	и не	12	18
8	что в	4	17
9	только в	7	15
10	для нас	2	14
11	в себе	3	14
12	то же	9	14
13	того что	2	14
14	если бы	4	13
15	том что	4	12
16	не было	2	12
17	а не	2	12
18	по себе	4	11
19	но и	6	11
20	не в	5	11
21	не может	4	11
22	и потому	4	10
23	что мы	3	10
24	не только	17	10
25	между тем	3	9
26	в своем	4	8
27	было бы	6	8
28	заключает в	2	8
29	мы не	3	8
30	но в	9	8
31	с тем	3	7
32	это не	3	7
33	в нем	3	7
34	в силу	2	7
35	и т	3	7
36	могут быть	3	7
37	с этим	2	7
38	и к	4	6
39	мысль о	2	6
40	для того	3	6
41	в ряду	2	6
42	и мы	2	5
43	хотя и	3	5
44	в его	2	5
45	как бы	4	5
46	есть нечто	2	5
47	все это	2	5
48	не менее	2	5
49	должно быть	2	5
50	а в	4	5
51	тем более	2	5
52	говорить о	2	5
53	есть в	2	5
54	думать что	2	4
55	быть может	6	4
56	есть не	2	4
57	и о	5	4
58	в котором	4	4
59	и тем	2	4
60	в сравнении	3	4
61	да и	2	4
62	тем самым	3	4
63	хотя бы	8	4
64	точки зрения	3	4
65	в то	7	4
66	и с	2	4
67	и есть	2	3
68	в них	2	3
69	в смысле	6	3
70	именно в	2	3
71	переход от	2	3
72	же время	7	3
73	было в	2	3
74	и если	4	3
75	например в	2	3
76	между прочим	2	3
77	со стороны	2	3
78	и других	2	3
79	более чем	2	3
80	которое в	2	3
81	с ними	3	3
82	в которых	5	3
83	с точки	3	3
84	и как	3	2
85	и без	3	2
86	сами по	3	2
87	столь же	3	2
88	с другой	5	2
89	в ее	2	2
90	не нужно	2	2
91	тот же	3	2
92	в ней	6	2
93	и это	2	2
94	в мире	2	2
95	при посредстве	2	2
96	еще более	2	2
97	по-видимому не	2	2
98	духа и	2	2
99	бы ни	2	2
100	в виде	2	2
101	мы должны	4	2
102	в области	11	2
