N	3gram	Potebnia_M_4	Myshleni
1	в том что	7	19
2	с точки зрения	3	10
3	по отношению к	8	10
4	мы могли бы	2	9
5	для того чтобы	4	8
6	то же самое	4	6
7	можно сказать что	4	6
8	от того что	3	6
9	на то что	4	4
10	в своем развитии	2	4
11	до сих пор	4	3
12	в том же	2	2
13	не в состоянии	2	2
14	до известной степени	2	2
15	в том смысле	2	2
16	мы имеем дело	2	2
17	и то что	4	2
18	не могут быть	2	2
19	на этот вопрос	2	2
20	с тем что	4	2
21	в этом случае	5	2
22	когда мы говорим	3	2
23	с тем и	2	2
24	не только не	3	2
25	таким образом мы	2	2
26	не может быть	5	2
27	вместе с тем	3	2
