N	2gram	Trubetskoy_1	FransuaR
1	и в	26	65
2	то есть	4	45
3	как бы	12	22
4	и не	8	22
5	в том	11	16
6	в этом	15	15
7	но в	7	14
8	в нем	4	13
9	прежде всего	2	11
10	и на	2	11
11	том числе	5	10
12	и потому	6	10
13	не только	10	10
14	но и	9	10
15	так и	6	10
16	все эти	6	10
17	в эпоху	7	9
18	в его	5	9
19	во всех	2	9
20	все это	6	9
21	по своему	2	8
22	в своем	3	8
23	и другие	3	8
24	и даже	3	8
25	культуры и	3	8
26	в области	9	7
27	числе и	4	7
28	жизни и	2	7
29	точки зрения	13	7
30	только в	4	7
31	главным образом	8	6
32	никогда не	5	6
33	том что	7	6
34	все же	6	6
35	в значительной	3	6
36	еще не	2	6
37	при этом	3	6
38	может быть	10	6
39	в отношении	6	6
40	и у	8	6
41	сказать что	2	6
42	одно из	2	6
43	так как	9	6
44	связана с	2	5
45	с его	2	5
46	в одном	3	5
47	в них	2	5
48	превращается в	2	5
49	потому что	7	5
50	или иной	2	5
51	для него	3	5
52	той или	2	5
53	связь с	2	5
54	между тем	2	5
55	и все	2	5
56	в общем	8	4
57	связи с	9	4
58	и к	5	4
59	не в	2	4
60	в этой	4	4
61	можно только	2	4
62	отношение к	5	4
63	в самом	4	4
64	из них	7	4
65	сих пор	5	4
66	до сих	5	4
67	во время	4	4
68	не могут	2	3
69	что в	9	3
70	перестает быть	2	3
71	связанный с	2	3
72	европейской культуры	3	3
73	что он	4	3
74	но все	7	3
75	в самой	2	3
76	по своей	2	3
77	к нему	7	3
78	с точки	6	3
79	то что	7	3
80	не может	4	3
81	этом отношении	2	3
82	пор еще	2	3
83	уже не	3	3
84	с другой	8	3
85	в других	3	3
86	в себе	6	3
87	далеко не	4	3
88	связан с	2	3
89	и здесь	2	3
90	и с	10	3
91	в виду	2	3
92	но не	8	2
93	начиная с	2	2
94	к тому	6	2
95	и от	4	2
96	из этих	10	2
97	но при	2	2
98	на все	2	2
99	можно сказать	3	2
100	исторического развития	2	2
101	так например	2	2
102	его от	2	2
103	из всех	3	2
104	одной стороны	7	2
105	они в	2	2
106	несмотря на	6	2
107	некоторые из	2	2
108	он не	4	2
109	значительной мере	2	2
110	в народном	3	2
111	не вполне	3	2
112	и особенно	2	2
113	и для	5	2
114	так называемые	3	2
115	не к	2	2
116	в процессе	2	2
117	к жизни	5	2
118	приводит к	2	2
119	особенно в	2	2
120	одновременно и	2	2
121	с одной	7	2
122	того что	3	2
123	при таком	2	2
124	что мы	2	2
125	и наконец	2	2
126	на этот	4	2
127	и по	4	2
128	одним из	2	2
129	всегда и	3	2
130	в таком	3	2
131	образом в	5	2
132	в этих	4	2
133	различия между	2	2
134	но с	3	2
135	совершенно иной	2	2
136	о том	6	2
137	и это	2	2
138	еще только	2	2
