N	2gram	Savitsky_P_1	Psycholo
1	то что	4	44
2	и в	14	33
3	в этом	10	28
4	как бы	4	25
5	потому что	3	24
6	для того	3	23
7	может быть	5	22
8	том что	4	22
9	что в	4	21
10	в том	9	21
11	и мы	2	15
12	и не	12	13
13	все это	2	13
14	было бы	6	12
15	не может	4	10
16	в его	2	10
17	если бы	4	10
18	и если	4	9
19	по себе	4	9
20	как раз	2	9
21	то же	9	9
22	в своем	4	7
23	для нас	2	7
24	в нем	3	7
25	не только	17	7
26	это не	3	6
27	в ней	6	6
28	и т	3	6
29	и вот	2	6
30	точки зрения	3	6
31	что мы	3	6
32	как на	2	6
33	мы должны	4	6
34	никак не	2	6
35	а не	2	6
36	в себе	3	6
37	и как	3	5
38	мы не	3	5
39	с этим	2	5
40	заключается в	3	5
41	и это	2	5
42	и есть	2	4
43	в частности	2	4
44	из них	2	4
45	а в	4	4
46	и других	2	4
47	того что	2	4
48	в порядке	3	4
49	с тем	3	4
50	в жизни	2	4
51	одна из	2	4
52	и о	5	4
53	с точки	3	4
54	только в	7	4
55	с одной	3	3
56	в мире	2	3
57	тот же	3	3
58	должно быть	2	3
59	в пределах	8	3
60	одной стороны	3	3
61	например в	2	3
62	вслед за	3	3
63	но и	6	3
64	не было	2	3
65	в которых	5	3
66	в то	7	3
67	говорить о	2	3
68	но не	3	3
69	сами по	3	3
70	да и	2	3
71	во всей	2	3
72	тем самым	3	3
73	в виде	2	3
74	столь же	3	2
75	с другой	5	2
76	прежде всего	3	2
77	же время	7	2
78	в котором	4	2
79	она есть	3	2
80	именно в	2	2
81	и с	2	2
82	именно как	2	2
83	не в	5	2
84	и потому	4	2
85	но в	9	2
86	в них	2	2
87	думать что	2	2
88	и к	4	2
89	в ее	2	2
90	во всех	2	2
91	со стороны	2	2
92	сводится к	3	2
93	хотя бы	8	2
94	на пути	4	2
95	в русской	4	2
