N	2gram	Vygotskiy__7	Psycholo
1	в том	18	37
2	и в	26	32
3	и что	6	22
4	том что	17	21
5	то что	24	21
6	таким образом	23	21
7	потому что	16	21
8	что в	12	20
9	так же	14	18
10	может быть	7	18
11	что и	3	17
12	не может	11	17
13	точки зрения	28	17
14	что она	8	16
15	самом деле	6	16
16	того чтобы	19	14
17	что он	8	13
18	то же	8	13
19	для того	18	13
20	в этом	29	13
21	по себе	3	12
22	если мы	5	12
23	в самом	9	12
24	не только	24	12
25	заключается в	6	12
26	так как	14	12
27	на то	4	11
28	с тем	5	11
29	было бы	6	11
30	в основе	3	11
31	как и	15	10
32	же точно	3	10
33	но и	11	10
34	и не	18	10
35	с точки	21	10
36	никогда не	4	9
37	что все	2	9
38	что при	2	9
39	как в	4	9
40	в своих	2	9
41	тем что	9	9
42	что это	6	8
43	не менее	4	8
44	не в	4	8
45	той же	8	8
46	того что	14	8
47	на деле	2	8
48	к тому	7	7
49	мы знаем	2	7
50	такой же	3	7
51	а не	6	7
52	говорит что	2	7
53	в сущности	9	7
54	поэзии и	2	7
55	все эти	6	7
56	можно было	2	7
57	и его	12	7
58	что для	2	7
59	сказать что	8	7
60	в психологии	2	7
61	только в	8	7
62	что они	10	7
63	в этой	3	6
64	он не	3	6
65	как бы	6	6
66	целый ряд	4	6
67	же самое	5	6
68	что если	2	6
69	о том	4	6
70	если бы	5	6
71	что у	4	5
72	что его	2	5
73	в ней	3	5
74	до сих	3	5
75	сих пор	3	5
76	все это	3	5
77	как раз	3	5
78	показать что	4	5
79	этом отношении	3	5
80	на самом	3	5
81	только на	3	5
82	есть только	2	5
83	как на	6	5
84	в то	3	5
85	же как	8	4
86	столь же	2	4
87	едва ли	4	4
88	с этой	5	4
89	есть не	3	4
90	что на	2	4
91	тем не	3	4
92	как это	5	4
93	в чем	3	4
94	в действительности	2	4
95	несмотря на	2	4
96	и той	2	4
97	которые мы	4	4
98	из этого	2	4
99	никак не	5	4
100	совершенно не	2	4
101	и по	3	4
102	и тем	6	4
103	в нем	2	4
104	все же	6	4
105	наряду с	2	4
106	и до	2	4
107	данном случае	5	4
108	но только	3	4
109	а в	2	4
110	сущности говоря	2	4
111	одной и	2	4
112	мы видим	3	4
113	не имеет	2	4
114	и для	5	4
115	в данном	5	4
116	тому что	9	4
117	и с	5	4
118	могут быть	2	4
119	с этим	2	4
120	в целом	5	4
121	ту же	2	4
122	если же	2	4
123	которые в	2	4
124	ничего не	2	4
125	как она	5	4
126	в сознании	6	4
127	того как	2	4
128	по своему	9	3
129	не могут	4	3
130	состоит в	3	3
131	конечном счете	2	3
132	для этого	3	3
133	но он	2	3
134	с другой	4	3
135	само собой	2	3
136	в конце	4	3
137	точно так	2	3
138	и другого	2	3
139	представление о	7	3
140	представить себе	3	3
141	показывает что	2	3
142	и к	7	3
143	об этом	3	3
144	так что	4	3
145	как говорит	5	3
146	и заключается	3	3
147	до конца	5	3
148	в свою	2	3
149	и другой	3	3
150	что с	5	3
151	мы в	3	3
152	в своей	3	3
153	относится к	2	3
154	один из	2	3
155	с ее	2	3
156	так и	3	3
157	то как	2	3
158	во всех	6	3
159	и их	5	3
160	были бы	3	3
161	и ее	2	3
162	в их	2	3
163	в отношении	2	3
164	что же	2	3
165	которого мы	2	3
166	которых мы	2	3
167	и других	2	3
168	образом в	2	3
169	время как	2	3
170	что не	2	3
171	в конечном	2	3
172	должны быть	4	3
173	и он	2	3
174	то время	2	3
175	как к	3	3
176	в смысле	6	3
177	в которых	2	3
178	и то	7	3
179	во всем	3	3
180	мы должны	6	3
181	тогда когда	5	3
182	но в	4	3
183	мы не	7	3
184	в виду	5	3
185	мы можем	3	3
186	слова в	5	2
187	не до	2	2
188	на вопрос	5	2
189	этих двух	2	2
190	для психологии	2	2
191	оба эти	5	2
192	казалось бы	2	2
193	к действительности	2	2
194	все что	6	2
195	сравнению с	8	2
196	в какой	6	2
197	это не	3	2
198	она является	2	2
199	и от	4	2
200	из всех	5	2
201	с другими	3	2
202	этой точки	4	2
203	переходе от	3	2
204	но эта	2	2
205	во всяком	2	2
206	том и	3	2
207	и здесь	2	2
208	ни в	2	2
209	в новой	3	2
210	образом все	2	2
211	и при	2	2
212	вывод что	2	2
213	его от	2	2
214	свою очередь	2	2
215	еще не	4	2
216	но не	3	2
217	очевидно что	3	2
218	по сравнению	9	2
219	она не	5	2
220	бы с	2	2
221	из которых	2	2
222	вовсе не	2	2
223	на его	2	2
224	убедиться что	2	2
225	к нему	3	2
226	том же	2	2
227	только потому	3	2
228	и следовательно	5	2
229	в его	4	2
230	как совершенно	3	2
231	все те	2	2
232	если в	4	2
233	в ее	6	2
234	для нее	3	2
235	его с	3	2
236	это делается	3	2
237	становится совершенно	2	2
238	в этих	2	2
239	отношение к	2	2
240	для нас	2	2
241	в процессе	5	2
242	вместе с	12	2
243	значение в	2	2
244	речи с	7	2
245	отличается от	3	2
246	значение и	2	2
247	показывают что	2	2
248	что оно	4	2
249	форм и	2	2
250	мы находим	3	2
251	из того	3	2
252	что ребенок	5	2
253	в самой	3	2
254	и другое	3	2
255	которой мы	2	2
256	самое что	2	2
257	отличие от	2	2
258	что этот	5	2
259	но это	3	2
260	также и	2	2
261	моментов в	2	2
262	в себе	9	2
263	того и	2	2
264	и только	4	2
265	в уме	2	2
266	могли бы	5	2
267	в свете	4	2
268	ответ на	2	2
269	в которой	11	2
270	что по	2	2
271	учения о	4	2
272	и которые	2	2
