N	2gram	Voloshinov_1	Literetu
1	и не	4	22
2	и в	16	16
3	при этом	6	15
4	не только	7	14
5	но и	4	14
6	в этом	9	14
7	то что	3	12
8	может быть	17	12
9	в том	3	12
10	в частности	2	11
11	я и	6	10
12	то же	2	9
13	так и	4	9
14	в жизни	2	8
15	том что	3	8
16	не может	8	8
17	к себе	3	8
18	в этой	4	8
19	как бы	5	8
20	в своей	2	7
21	точки зрения	8	7
22	только в	4	7
23	с его	7	6
24	еще не	5	6
25	в его	4	6
26	и т.п	2	6
27	и его	8	6
28	о том	2	6
29	что он	2	5
30	как и	2	5
31	вместе с	3	5
32	а в	3	5
33	в основе	3	5
34	никогда не	2	4
35	в начале	2	4
36	и для	2	4
37	в одном	3	4
38	только для	5	3
39	отнюдь не	4	3
40	прежде всего	9	3
41	и как	3	3
42	совершенно не	8	3
43	и к	6	3
44	в самом	2	3
45	с ее	4	3
46	жизни и	3	3
47	самом деле	6	3
48	и наконец	4	3
49	с точки	6	3
50	едва ли	3	3
51	как это	3	3
52	отношения к	3	3
53	в области	3	3
54	но в	4	3
55	ни было	2	2
56	сознания и	2	2
57	что в	3	2
58	не менее	2	2
59	быть может	2	2
60	оно не	2	2
61	с этой	2	2
62	к этому	2	2
63	в нем	4	2
64	и ее	4	2
65	это последнее	2	2
66	художественного творчества	4	2
67	а на	2	2
68	того же	2	2
69	для него	6	2
70	можно сказать	4	2
71	было бы	2	2
72	со всеми	2	2
73	что не	2	2
74	во всех	3	2
75	себя и	2	2
76	один из	2	2
77	что и	2	2
78	он ищет	2	2
79	отношение к	5	2
80	как мы	4	2
81	во всей	2	2
82	так же	2	2
83	по аналогии	2	2
84	и только	9	2
85	и вот	3	2
86	и даже	4	2
87	своей жизни	2	2
88	с ними	4	2
89	и на	4	2
90	и с	8	2
91	не знает	2	2
92	его в	4	2
93	и потому	3	2
94	мира и	3	2
95	ее в	2	2
96	для меня	2	2
