N	2gram	Ircho_Kome_1	UchenyiS
1	и в	22	14
2	не только	10	10
3	и не	8	8
4	прежде всего	5	8
5	то что	2	7
6	в этом	3	7
7	не может	2	7
8	может быть	9	6
9	все это	5	5
10	то же	6	5
11	но и	11	4
12	в этой	7	4
13	в их	4	4
14	с другой	5	4
15	но в	4	3
16	как и	9	3
17	все же	3	3
18	не следует	2	3
19	и формы	2	3
20	в частности	3	3
21	бы то	2	3
22	для этого	2	3
23	то ни	2	3
24	же время	4	3
25	другой стороны	5	3
26	в то	10	3
27	было бы	2	3
28	в области	2	3
29	к сожалению	2	3
30	ни было	2	3
31	у нас	3	3
32	том что	12	2
33	но не	2	2
34	в том	11	2
35	мы не	3	2
36	не в	6	2
37	но это	2	2
38	должна была	2	2
39	нас в	2	2
40	только в	3	2
41	и с	3	2
42	тем что	4	2
43	сих пор	2	2
44	могут быть	3	2
45	что он	6	2
46	и у	3	2
47	в себе	2	2
48	как раз	3	2
49	до сих	2	2
50	же самое	2	2
51	в конце	6	2
52	этом отношении	3	2
53	в самом	2	2
54	ничего не	3	2
55	для всех	2	2
56	что и	4	2
57	в его	5	2
58	между тем	5	2
59	конце концов	4	2
60	таким образом	8	2
