N	2gram	Vygotskiy__4	SlovoVZh
1	не может	10	16
2	точки зрения	6	14
3	может быть	22	14
4	и его	5	13
5	как бы	25	13
6	таким образом	13	12
7	и в	33	12
8	и не	13	10
9	если бы	10	9
10	так как	12	9
11	прежде всего	2	8
12	для нас	7	7
13	сказать что	13	7
14	в нем	7	6
15	все время	24	6
16	при этом	2	6
17	в том	21	6
18	только в	4	6
19	слова и	4	6
20	в ней	6	6
21	художественной формы	4	5
22	в жизни	4	5
23	то что	44	5
24	никогда не	5	5
25	а не	6	5
26	можно сказать	2	5
27	то же	9	5
28	хотя бы	2	5
29	как и	5	5
30	том что	22	5
31	как в	3	5
32	что мы	6	5
33	героя и	2	5
34	но в	2	5
35	в виду	2	5
36	и к	2	4
37	все же	5	4
38	жизни и	4	4
39	так и	3	4
40	с другой	2	4
41	на самом	6	4
42	что не	4	4
43	литературы и	2	4
44	не в	2	4
45	в этом	28	4
46	мы все	3	4
47	и на	5	4
48	материала и	2	4
49	его в	3	4
50	в самом	12	4
51	и является	2	4
52	не только	7	4
53	в котором	2	3
54	в них	2	3
55	точка зрения	2	3
56	и уже	4	3
57	бы то	2	3
58	когда он	7	3
59	в художественном	2	3
60	в своей	4	3
61	бы мы	3	3
62	сих пор	3	3
63	все это	13	3
64	ее и	2	3
65	все эти	6	3
66	ясно что	5	3
67	в такой	2	3
68	по себе	9	3
69	слово в	2	3
70	но и	3	3
71	того что	4	3
72	и наконец	2	3
73	ни в	3	3
74	да и	3	3
75	так же	13	3
76	самом деле	12	3
77	мы не	5	3
78	и с	2	3
79	о том	20	3
80	в каком	8	3
81	и ее	2	3
82	в себе	6	3
83	до сих	3	3
84	в пределах	3	3
85	и для	3	3
86	конечно не	3	3
87	из этого	5	3
88	с ним	5	3
89	как только	2	2
90	место в	2	2
91	уже в	2	2
92	с этой	4	2
93	но мы	2	2
94	с его	2	2
95	что и	3	2
96	но все	2	2
97	что в	21	2
98	на все	2	2
99	вместе с	8	2
100	и так	4	2
101	на него	4	2
102	все они	2	2
103	в своем	7	2
104	в какой	5	2
105	допустим что	2	2
106	другой стороны	2	2
107	это не	6	2
108	дело с	3	2
109	смысл и	4	2
110	мы имеем	2	2
111	и все	12	2
112	бы не	2	2
113	тому же	3	2
114	с одной	3	2
115	была бы	2	2
116	к этому	4	2
117	связь с	5	2
118	что поэт	2	2
119	те же	2	2
120	что форма	2	2
121	и что	25	2
122	едва ли	2	2
123	с точки	4	2
124	и здесь	3	2
125	же самое	6	2
126	как на	6	2
127	и дает	2	2
128	такой же	2	2
129	и то	2	2
130	мы можем	5	2
131	но не	3	2
132	еще раз	3	2
133	до конца	7	2
134	она не	3	2
135	в то	3	2
136	одной стороны	3	2
137	и совершенно	5	2
138	ни на	2	2
139	можно найти	2	2
140	мы в	3	2
141	действия и	2	2
142	и та	2	2
143	на примере	2	2
144	как это	14	2
145	ничего не	2	2
146	он не	11	2
147	мы никогда	3	2
148	в его	10	2
149	и потому	2	2
