N	3gram	Losev_Vlad_3	Dialekti
1	с точки зрения	6	12
2	это значит что	6	9
3	ни в каком	2	8
4	в том что	10	7
5	сам по себе	2	6
6	само по себе	3	5
7	то же время	2	4
8	в то же	3	4
9	на то что	2	4
10	ничего не говорит	4	4
11	с другой стороны	2	4
12	не имеет ничего	2	3
13	иметь в виду	2	3
14	имеет ничего общего	2	3
15	и в этом	5	3
16	ничего общего с	2	3
17	в конце концов	5	3
18	более или менее	5	3
19	содержит в себе	4	3
20	не может быть	6	3
21	в этом смысле	3	3
22	к тому что	2	2
23	о том что	8	2
24	и в то	2	2
25	то в чем	2	2
26	с одной стороны	3	2
27	одной стороны и	2	2
28	точно так же	4	2
29	то это значит	4	2
30	в этом отношении	2	2
31	во всяком случае	3	2
