N	2gram	Vygotskiy__2	Hudozhes
1	то есть	21	18
2	состоит в	3	16
3	и не	10	16
4	в том	37	15
5	и в	32	15
6	не только	12	15
7	в частности	3	13
8	может быть	18	13
9	при этом	13	12
10	а в	4	12
11	и его	7	12
12	но не	2	11
13	в этом	13	11
14	в себе	2	11
15	как бы	6	10
16	но и	10	10
17	так и	3	10
18	то же	13	10
19	а не	7	10
20	в его	2	9
21	точки зрения	17	9
22	сводится к	2	8
23	с другой	3	7
24	в искусстве	21	7
25	в то	5	7
26	отличие от	2	7
27	но в	3	7
28	в основе	11	6
29	с его	2	6
30	что в	20	6
31	в ее	2	6
32	том что	21	6
33	не в	8	6
34	же время	2	6
35	отношение к	2	6
36	не может	17	6
37	могут быть	4	5
38	ни в	2	5
39	только в	7	5
40	в самом	12	5
41	того что	8	5
42	в нем	4	5
43	с ее	3	5
44	то что	21	5
45	другой стороны	2	5
46	в их	3	5
47	место в	2	4
48	искусства в	5	4
49	а на	4	4
50	в этих	2	4
51	к тому	7	4
52	а только	3	4
53	и как	7	4
54	еще не	2	4
55	например в	3	4
56	он не	6	4
57	и тем	4	4
58	в своей	3	4
59	произведения искусства	4	4
60	как к	3	4
61	и то	3	4
62	сказать что	7	4
63	между тем	4	4
64	мы имеем	4	4
65	эстетического объекта	2	4
66	как это	4	4
67	к которому	2	4
68	художественного произведения	5	3
69	не менее	8	3
70	если бы	6	3
71	конечном счете	3	3
72	произведения как	2	3
73	в отношении	3	3
74	это не	2	3
75	одного и	2	3
76	была бы	2	3
77	или иного	2	3
78	что он	13	3
79	и к	3	3
80	тем не	4	3
81	по своему	3	3
82	того же	2	3
83	в свою	3	3
84	к области	3	3
85	иначе говоря	4	3
86	того или	3	3
87	как раз	5	3
88	в конечном	3	3
89	далеко не	5	3
90	к нему	2	3
91	как говорит	3	3
92	в целом	4	3
93	так в	2	3
94	не на	2	3
95	таким образом	21	3
96	как и	10	3
97	и что	22	3
98	с точки	10	3
99	и для	4	3
100	в таком	2	3
101	их в	2	3
102	потому что	21	3
103	но он	3	3
104	и ее	3	3
105	в данном	4	3
106	в художественном	6	3
107	в произведении	4	3
108	в которой	2	3
109	на деле	8	3
110	в виду	3	3
111	слова в	2	2
112	на этом	3	2
113	том и	2	2
114	и более	4	2
115	из которого	4	2
116	искусства как	2	2
117	тому что	4	2
118	в них	2	2
119	может оказаться	2	2
120	не как	3	2
121	в одном	2	2
122	этих двух	2	2
123	вовсе не	2	2
124	по себе	12	2
125	роль в	2	2
126	к своему	2	2
127	об этом	3	2
128	искусства но	5	2
129	тем более	2	2
130	свою очередь	2	2
131	в глаза	2	2
132	говорит что	7	2
133	и сам	4	2
134	для такого	2	2
135	несмотря на	4	2
136	во всех	3	2
137	к действительности	2	2
138	не вполне	2	2
139	оно не	2	2
140	образом и	4	2
141	художественное произведение	6	2
142	как в	9	2
143	искусства если	3	2
144	в романе	2	2
145	а с	2	2
146	все эти	7	2
147	того чтобы	14	2
148	для того	13	2
149	из которых	2	2
150	и по	4	2
151	сводятся к	2	2
152	так же	18	2
153	художественного впечатления	2	2
154	с другими	2	2
155	и на	5	2
156	но как	3	2
157	в этой	6	2
158	отношении к	3	2
159	о том	6	2
160	и это	4	2
161	из этого	4	2
162	в чем	4	2
163	бы не	2	2
